airport,latitude,longitude,elevation_ft
KABE,40.651773,-75.442797,393
KACY,39.456201,-74.577511,75
KALB,42.748299,-73.801697,285
KATW,44.258515,-88.519,918
KAUS,30.197535,-97.662015,542
KAVL,35.435488,-82.541853,2165
KBGR,44.806364,-68.826668,192
KBIL,45.808932,-108.541242,3652
KBIS,46.772734,-100.746874,1661
KBLI,48.79280090332031,-122.53800201416016,170
KBLV,38.5452,-89.835197,459
KBMI,40.4771,-88.915901,871
KBNA,36.1245,-86.6782,599
KBOI,43.5644,-116.223,2871
KBOS,42.36197,-71.0079,20
KBUR,34.202834,-118.35805,778
KBZN,45.778853,-111.153711,4473
KCAK,40.916099548339844,-81.44219970703125,1228
KCHA,35.035301,-85.203796,683
KCHS,32.896159,-80.038151,46
KCID,41.884701,-91.7108,869
KCKB,39.2966,-80.228104,1217
KCOS,38.805801,-104.700996,6187
KCOU,38.8181,-92.219597,889
KCVG,39.048801,-84.667801,896
KDAY,39.902401,-84.219398,1009
KDEN,39.860027,-104.673792,5431
KDSM,41.534027,-93.656719,958
KELM,42.1599006652832,-76.8916015625,954
KEUG,44.124599,-123.211998,374
KEVV,38.0369987488,-87.5324020386,418
KEWR,40.6894,-74.170545,18
KEYW,24.556119,-81.759579,3
KFAR,46.9207,-96.815804,902
KFAT,36.775767,-119.718018,336
KFLL,26.072599,-80.152702,9
KFNT,42.969294,-83.743355,782
KFSD,43.585463,-96.741152,1429
KFWA,40.978896,-85.194465,814
KGEG,47.6199,-117.533997,2376
KGPI,48.310501,-114.255997,2977
KGRI,40.967498779296875,-98.30960083007812,1847
KGRR,42.880798,-85.522797,794
KGSO,36.09937,-79.937262,925
KGSP,34.895699,-82.218903,964
KGTF,47.481998,-111.371002,3680
KHGR,39.708771,-77.728014,703
KHOU,29.645336,-95.276812,46
KHSV,34.636244,-86.774378,629
KHTS,38.366699,-82.557999,828
KIAD,38.9445,-77.455803,312
KIAG,43.1073,-78.946198,589
KICT,37.650314,-97.428583,1333
KIDA,43.514599,-112.070999,4744
KIND,39.7173,-86.294403,797
KIWA,33.3078,-111.654999,1382
KJAX,30.492469,-81.687813,30
KJKA,30.290501,-87.671799,17
KJQF,35.387798,-80.709099,705
KLAS,36.083361,-115.151817,2181
KLCK,39.813801,-82.927803,744
KLEX,38.035066,-84.606738,979
KLIT,34.729222,-92.223591,262
KLRD,27.5438,-99.461601,508
KLSE,43.879002,-91.256699,655
KMCI,39.301699,-94.713893,1026
KMCO,28.429399490356445,-81.30899810791016,96
KMDT,40.192838,-76.762333,310
KMDW,41.785999,-87.752403,620
KMEM,35.043845,-89.97634,341
KMFE,26.176141,-98.237965,107
KMFR,42.374199,-122.873001,1335
KMLB,28.102009,-80.641088,33
KMLI,41.448502,-90.5075,590
KMOT,48.25801,-101.279123,1716
KMRY,36.586777,-121.844183,257
KMSO,46.915816,-114.091107,3206
KMYR,33.679699,-78.928299,25
KOKC,35.393388,-97.598248,1295
KOMA,41.3032,-95.894096,984
KPBG,44.650902,-73.468102,234
KPBI,26.683201,-80.095596,19
KPDX,45.588699,-122.598,31
KPGD,26.9202,-81.990501,26
KPHL,39.871899,-75.241096,36
KPHX,33.435302,-112.005905,1135
KPIA,40.663841,-89.692631,660
KPIE,27.9102,-82.687401,11
KPIT,40.491501,-80.232903,1203
KPSC,46.264702,-119.119003,410
KPSM,43.0779,-70.823303,100
KPVD,41.725038,-71.425668,55
KPVU,40.218894,-111.722445,4497
KRAP,44.0452995300293,-103.05699920654297,3204
KRFD,42.1954,-89.097198,742
KRIC,37.505199,-77.319702,167
KROA,37.3255,-79.975403,1175
KRSW,26.534685,-81.752816,30
KSAV,32.126591,-81.19998,50
KSBN,41.708304,-86.316922,799
KSCK,37.893279,-121.238079,33
KSDF,38.1706,-85.735076,501
KSFB,28.774277,-81.234626,55
KSGF,37.245047,-93.388596,1268
KSHV,32.444747,-93.826741,258
KSMX,34.898899,-120.457001,261
KSNA,33.675063,-117.869281,56
KSPI,39.844101,-89.677902,598
KSRQ,27.394631,-82.554359,30
KSTC,45.5466,-94.059898,1031
KSWF,41.50421,-74.108901,491
KSYR,43.11119842529297,-76.1063003540039,421
KTOL,41.5868,-83.8078,683
KTRI,36.475201,-82.407401,1519
KTTN,40.276699,-74.813499,213
KTUL,36.197084,-95.886225,677
KTVC,44.741402,-85.582199,624
KTYS,35.811001,-83.994003,981
KVPS,30.481315,-86.515839,87
KXNA,36.281898,-94.306801,1287
