origin,destination,avg_enroute_min
KABE,KBNA,118.1
KABE,KDEN,241.0
KABE,KFLL,168.1
KABE,KMCO,154.9
KABE,KMLB,143.8
KABE,KMYR,97.9
KABE,KPGD,163.1
KABE,KPIE,153.6
KABE,KRSW,174.0
KABE,KSFB,141.4
KABE,KSRQ,158.5
KACY,KFLL,156.0
KACY,KMYR,85.0
KACY,KPIE,161.9
KACY,KSFB,148.0
KALB,KBNA,139.0
KALB,KFLL,198.0
KALB,KMYR,130.4
KALB,KPGD,188.5
KALB,KPIE,181.8
KALB,KSFB,172.5
KALB,KSRQ,193.0
KATW,KBNA,100.8
KATW,KDEN,155.9
KATW,KEWR,125.0
KATW,KFLL,204.0
KATW,KIWA,216.8
KATW,KJKA,160.0
KATW,KLAS,228.9
KATW,KMCO,181.0
KATW,KPDX,248.3
KATW,KPGD,186.2
KATW,KPIE,173.4
KATW,KSAV,142.0
KATW,KSFB,170.2
KATW,KSNA,275.0
KAUS,KAVL,148.8
KAUS,KCVG,152.3
KAUS,KDSM,130.5
KAUS,KGRR,165.1
KAUS,KIAD,197.4
KAUS,KLAS,170.5
KAUS,KPIT,178.8
KAUS,KPVU,164.5
KAUS,KSFB,157.2
KAUS,KSRQ,152.2
KAUS,KTYS,140.4
KAVL,KAUS,149.7
KAVL,KBOS,133.5
KAVL,KDEN,197.3
KAVL,KEWR,110.0
KAVL,KEYW,125.5
KAVL,KFLL,117.0
KAVL,KHOU,143.3
KAVL,KIAD,84.1
KAVL,KLAS,254.9
KAVL,KMCO,95.8
KAVL,KMDW,102.8
KAVL,KPBI,107.5
KAVL,KPGD,107.0
KAVL,KPIE,98.5
KAVL,KSFB,90.5
KAVL,KSRQ,101.1
KAVL,KVPS,87.4
KBGR,KPIE,212.8
KBGR,KSFB,197.2
KBIL,KIWA,142.5
KBIL,KLAS,130.5
KBIS,KIWA,168.5
KBIS,KLAS,166.9
KBLI,KBUR,165.5
KBLI,KIWA,179.5
KBLI,KLAS,152.9
KBLV,KFLL,157.9
KBLV,KJAX,119.2
KBLV,KJKA,107.8
KBLV,KLAS,213.4
KBLV,KMYR,112.5
KBLV,KPGD,146.5
KBLV,KPIE,132.4
KBLV,KSAV,113.0
KBLV,KSFB,133.7
KBLV,KSRQ,133.6
KBLV,KVPS,104.6
KBMI,KPIE,140.6
KBMI,KSFB,142.0
KBNA,KABE,112.9
KBNA,KALB,128.4
KBNA,KATW,101.4
KBNA,KBZN,218.9
KBNA,KCAK,88.8
KBNA,KCID,93.4
KBNA,KDSM,99.5
KBNA,KFAR,149.9
KBNA,KFLL,133.0
KBNA,KFNT,93.0
KBNA,KFSD,125.4
KBNA,KGRR,88.8
KBNA,KIAD,103.8
KBNA,KJAX,92.7
KBNA,KJKA,96.0
KBNA,KMDT,104.8
KBNA,KPGD,122.4
KBNA,KPIE,108.2
KBNA,KPIT,89.0
KBNA,KPVU,208.0
KBNA,KRFD,89.0
KBNA,KRIC,97.4
KBNA,KSFB,107.9
KBNA,KSHV,89.4
KBNA,KSRQ,112.4
KBNA,KSYR,119.6
KBNA,KXNA,82.9
KBOI,KSNA,136.4
KBOS,KAVL,137.6
KBOS,KDSM,190.5
KBOS,KGRR,133.0
KBOS,KIND,147.3
KBOS,KSRQ,191.6
KBOS,KTYS,142.5
KBOS,KVPS,187.5
KBUR,KBLI,160.2
KBUR,KDSM,203.3
KBUR,KIND,247.2
KBUR,KPVU,101.5
KBZN,KBNA,199.2
KBZN,KIWA,140.0
KBZN,KLAS,127.1
KCAK,KBNA,89.2
KCAK,KFLL,160.9
KCAK,KJAX,122.3
KCAK,KMYR,98.0
