airport,latitude,longitude,elevation_ft
KABE,40.652364,-75.440406,394
KACY,39.457575,-74.577156,75
KALB,42.749117,-73.801981,285
KATW,44.258094,-88.519072,918
KAUS,30.194528,-97.669875,542
KAVL,35.436114,-82.542047,2164
KBGR,44.807444,-68.828139,192
KBIL,45.80785,-108.543544,3662
KBIS,46.772733,-100.745739,1661
KBLI,48.792694,-122.537528,171
KBLV,38.545172,-89.835186,459
KBMI,40.477111,-88.915917,871
KBNA,36.124475,-86.678181,599
KBOI,43.564361,-116.222861,2872
KBOS,42.362944,-71.006389,19
KBUR,34.200694,-118.358667,778
KBZN,45.777236,-111.150261,4473
KCAE,33.938839,-81.119536,236
KCAK,40.915056,-81.443639,1226
KCHA,35.035194,-85.203556,683
KCHS,32.898647,-80.040528,46
KCID,41.884694,-91.710806,869
KCKB,39.297656,-80.227533,1224
KCOS,38.805817,-104.700778,6187
KCVG,39.048839,-84.667822,896
KDAY,39.902253,-84.219411,1009
KDEN,39.861667,-104.673167,5434
KDSM,41.533972,-93.663072,958
KELM,42.159856,-76.891747,955
KEUG,44.124583,-123.211972,374
KEVV,38.040806,-87.528494,422
KEWR,40.692481,-74.168689,18
KEYW,24.556119,-81.759956,3
KFAR,46.920639,-96.81575,901
KFAT,36.776556,-119.718833,336
KFLL,26.071667,-80.149694,65
KFNT,42.965464,-83.744739,782
KFSD,43.582019,-96.741925,1430
KFWA,40.978472,-85.195167,815
KGEG,47.619028,-117.535222,2385
KGFK,47.947869,-97.175692,845
KGPI,48.3105,-114.256,2977
KGRI,40.967542,-98.309639,1847
KGRR,42.880833,-85.522806,794
KGSO,36.101328,-79.941122,926
KGSP,34.895672,-82.218858,964
KGTF,47.4823,-111.370281,3680
KHGR,39.7085,-77.7265,703
KHOU,29.6458,-95.277231,46
KHSV,34.637197,-86.775056,629
KHTS,38.368508,-82.560361,828
KIAD,38.947456,-77.459928,312
KIAG,43.107558,-78.945847,592
KICT,37.649953,-97.433042,1333
KIDA,43.513672,-112.070819,4744
KIND,39.717306,-86.294639,796
KIWA,33.307825,-111.655458,1384
KJAX,30.494044,-81.687847,30
KJKA,30.289639,-87.671778,17
KJQF,35.387769,-80.709133,704
KLAS,36.080342,-115.15245,2183
KLCK,39.813786,-82.927814,744
KLEX,38.036742,-84.608617,980
KLRD,27.544194,-99.461583,508
KLSE,43.879267,-91.256633,655
KMCI,39.297611,-94.713889,1027
KMCO,28.429389,-81.309,96
KMDT,40.193192,-76.762619,310
KMDW,41.785644,-87.752728,620
KMEM,35.042411,-89.976681,341
KMFE,26.175833,-98.238611,107
KMFR,42.374964,-122.873289,1335
KMLB,28.10275,-80.64525,33
KMLI,41.448208,-90.507769,590
KMOT,48.257639,-101.278028,1716
KMRY,36.586953,-121.842783,257
KMSO,46.916306,-114.090556,3206
KMSY,29.993272,-90.259028,3
KMYR,33.679742,-78.928322,25
KOAK,37.721261,-122.22115,9
KOMA,41.303167,-95.894056,985
KPBG,44.650944,-73.468139,234
KPBI,26.683161,-80.095592,20
KPDX,45.588708,-122.596869,31
KPGD,26.918592,-81.990886,26
KPHX,33.434278,-112.011583,1135
KPIA,40.664194,-89.69325,661
KPIE,27.908633,-82.686511,11
KPIT,40.491417,-80.232694,1203
KPSC,46.264947,-119.1194,410
KPSM,43.077944,-70.823278,100
KPSP,33.829669,-116.506694,477
KPVD,41.722333,-71.427722,54
KPVU,40.219167,-111.723361,4497
KRAP,44.045333,-103.057361,3204
KRFD,42.195361,-89.097222,742
KRIC,37.505181,-77.319739,168
KROA,37.325472,-79.975417,1175
KROC,43.119144,-77.671869,559
KRSW,26.536164,-81.755156,30
KSAV,32.127583,-81.202139,50
KSBN,41.708225,-86.317339,798
KSCK,37.894411,-121.238739,33
KSDF,38.174086,-85.736494,501
KSFB,28.777178,-81.234914,55
KSGF,37.245661,-93.388628,1268
KSHV,32.446517,-93.826039,258
KSMX,34.899944,-120.458083,261
KSNA,33.675661,-117.868233,56
KSPI,39.844614,-89.677547,598
KSRQ,27.395444,-82.554389,30
KSTC,45.546222,-94.059389,1031
KSWF,41.504111,-74.104833,491
KSYR,43.111181,-76.106319,421
KTOL,41.586817,-83.807828,684
KTRI,36.475208,-82.407414,1519
KTTN,40.276694,-74.813472,213
KTUL,36.198394,-95.888106,678
KTVC,44.741578,-85.581869,624
KTYS,35.811092,-83.994067,986
KVPS,30.483225,-86.52605,84
KXLL,40.570278,-75.488306,399
KXNA,36.281578,-94.307767,1288
