Mkt Al,Op Al,Orig,Dest,Manu,Type,Aircraft Family,Aircraft Type,Equip,Flights,Seats,ASMs,Block Mins
G4,G4,ABE,BNA,Airbus,Narrow,A320,A320,320,8,"1,440","986,400",928
G4,G4,ABE,DEN,Airbus,Narrow,A320,A320,320,9,"1,620","2,493,180","2,178"
G4,G4,ABE,FLL,Airbus,Narrow,A320,A320,320,9,"1,620","1,686,420","1,487"
G4,G4,ABE,MCO,Airbus,Narrow,A320,A320,320,11,"1,980","1,793,880","1,672"
G4,G4,ABE,MLB,Airbus,Narrow,A320,A320,320,9,"1,620","1,480,680","1,293"
G4,G4,ABE,MYR,Airbus,Narrow,A320,A320,320,29,"5,220","2,703,960","2,870"
G4,G4,ABE,PGD,Airbus,Narrow,A320,A319,319,1,156,"158,808",162
G4,G4,ABE,PGD,Airbus,Narrow,A320,A320,320,22,"3,960","4,031,280","3,564"
G4,G4,ABE,PIE,Airbus,Narrow,A320,A320,320,23,"4,140","4,015,800","3,519"
G4,G4,ABE,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,3,570,"552,900",464
G4,G4,ABE,RSW,Airbus,Narrow,A320,A320,320,8,"1,440","1,494,720","1,392"
G4,G4,ABE,SFB,Airbus,Narrow,A320,A319,319,6,936,"825,552",840
G4,G4,ABE,SFB,Airbus,Narrow,A320,A320,320,43,"7,740","6,826,680","6,030"
G4,G4,ABE,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,340,640","1,125"
G4,G4,ABE,SRQ,Airbus,Narrow,A320,A320,320,8,"1,440","1,440,000","1,272"
G4,G4,ACY,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,25,"4,750","4,640,750","3,900"
G4,G4,ACY,MYR,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,12,"2,280","1,062,480","1,020"
G4,G4,ACY,PIE,Airbus,Narrow,A320,A319,319,2,312,"287,352",324
G4,G4,ACY,PIE,Airbus,Narrow,A320,A320,320,2,360,"331,560",324
G4,G4,ACY,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,5,950,"874,950",808
G4,G4,ACY,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,260,080","1,184"
G4,G4,ALB,BNA,Airbus,Narrow,A320,A319,319,9,"1,404","1,158,300","1,251"
G4,G4,ALB,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,9,"1,710","2,058,840","1,782"
G4,G4,ALB,MYR,Airbus,Narrow,A320,A320,320,11,"1,980","1,354,320","1,453"
G4,G4,ALB,PGD,Airbus,Narrow,A320,A319,319,2,312,"369,720",376
G4,G4,ALB,PGD,Airbus,Narrow,A320,A320,320,14,"2,520","2,986,200","2,632"
G4,G4,ALB,PIE,Airbus,Narrow,A320,A319,319,7,"1,092","1,241,604","1,264"
G4,G4,ALB,PIE,Airbus,Narrow,A320,A320,320,2,360,"409,320",360
G4,G4,ALB,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,2,380,"432,060",360
G4,G4,ALB,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,594,480","1,376"
