origin,destination,avg_enroute_min
KABE,KFLL,172
KABE,KMCO,151.8
KABE,KMLB,151.7
KABE,KMYR,101.1
KABE,KPGD,168.9
KABE,KPIE,161.7
KABE,KRSW,175
KABE,KSFB,147.5
KABE,KSRQ,169.6
KACY,KFLL,156
KACY,KPGD,170
KACY,KPIE,162
KACY,KSFB,148
KALB,KFLL,198
KALB,KMYR,126.8
KALB,KPGD,196.3
KALB,KPIE,182.9
KALB,KSFB,173
KALB,KSRQ,188.2
KATW,KIWA,237.6
KATW,KBNA,107.5
KATW,KFLL,204.6
KATW,KJKA,162
KATW,KLAS,241.5
KATW,KMCO,181
KATW,KPGD,190.3
KATW,KPIE,177.2
KATW,KRSW,195
KATW,KSAV,145.2
KATW,KSFB,173.8
KATW,KSRQ,179.5
KAUS,KCVG,145
KAUS,KDSM,130
KAUS,KGRR,160
KAUS,KPVU,170.5
KAVL,KBOS,128.7
KAVL,KDEN,210.8
KAVL,KEWR,107.2
KAVL,KEYW,129.7
KAVL,KFLL,117.8
KAVL,KIAD,89
KAVL,KLAS,280.6
KAVL,KMCO,96.4
KAVL,KPBI,116.9
KAVL,KPGD,109.2
KAVL,KPIE,97.7
KAVL,KSFB,90.1
KAVL,KSRQ,105.2
KIWA,KATW,195.1
KIWA,KBIL,141.2
KIWA,KBIS,160.1
KIWA,KBLI,191.4
KIWA,KBMI,185
KIWA,KBOI,130.5
KIWA,KBZN,139.4
KIWA,KCID,172.8
KIWA,KCOS,100.5
KIWA,KCVG,207.4
KIWA,KDSM,163
KIWA,KEUG,167.3
KIWA,KFAR,176.3
KIWA,KGPI,164
KIWA,KFNT,214
KIWA,KFSD,157.9
KIWA,KFWA,203.6
KIWA,KGEG,164.9
KIWA,KGFK,182
KIWA,KGRI,135.9
KIWA,KGRR,205.5
KIWA,KGTF,150
KIWA,KICT,123.1
KIWA,KIDA,121.2
KIWA,KLAS,74
KIWA,KLSE,183
KIWA,KMLI,172.7
KIWA,KMOT,172.1
KIWA,KMSO,151.6
KIWA,KOMA,152.1
KIWA,KPDX,173.9
KIWA,KPIA,177.6
KIWA,KPSC,160.7
KIWA,KPVU,93
KIWA,KRAP,135.1
KIWA,KRFD,182
KIWA,KSBN,196.9
KIWA,KSGF,150.2
KIWA,KSNA,88
KIWA,KSTC,178.6
KIWA,KTVC,208.5
KIWA,KXNA,142.5
KBGR,KFLL,220.5
KBGR,KPGD,227.1
KBGR,KPIE,219
KBGR,KSFB,206.2
KBIL,KIWA,147.4
KBIL,KLAS,133.2
KBIS,KIWA,174.8
KBIS,KLAS,167.6
KBIS,KSFB,215.2
KBLI,KIWA,184.2
KBLI,KBUR,163.1
KBLI,KLAS,153.8
KBLI,KOAK,129.4
KBLI,KPSP,173.9
KBLV,KFLL,159.2
KBLV,KJKA,113.3
KBLV,KJAX,119.4
KBLV,KLAS,223.4
KBLV,KPGD,146.4
KBLV,KPIE,131.2
KBLV,KSFB,130.8
KBLV,KSRQ,133.8
KBLV,KVPS,103.1
KBMI,KIWA,219
KBMI,KPIE,140.4
KBMI,KSFB,137.4
KBNA,KATW,103.5
KBNA,KBZN,226.4
KBNA,KCAK,85.5
KBNA,KDSM,105.5
KBNA,KFAR,153.6
KBNA,KFLL,133.3
KBNA,KFNT,95.4
KBNA,KFSD,129.4
KBNA,KGRR,90.2
KBNA,KJKA,95
KBNA,KMDT,101.9
KBNA,KPGD,121.2
KBNA,KPIE,104.2
KBNA,KPIT,88
KBNA,KPVU,221.8
KBNA,KSFB,105.2
KBNA,KSRQ,108.5
KBNA,KSYR,122
KBNA,KXNA,91.8
KBOI,KIWA,130.2
KBOI,KSNA,136.1
KBOS,KAVL,142.2
KBOS,KSRQ,201.3
KBOS,KTYS,150.7
KBUR,KBLI,169.3
KBUR,KPVU,105
KBZN,KIWA,145.7
KBZN,KBNA,192.7
KBZN,KLAS,129.6
KCAE,KFLL,111
KCAE,KSFB,91
KCAK,KBNA,91.6
KCAK,KFLL,164.6
KCAK,KJAX,115.8
KCAK,KMYR,93
KCAK,KPGD,153.9
KCAK,KPIE,143.3
KCAK,KSAV,104.6
KCAK,KSFB,133.9
KCAK,KSRQ,149.2
KCAK,KVPS,144
KCHA,KFLL,122
KCHA,KLAS,261.2
KCHA,KPGD,108.9
KCHA,KPIE,92.1
KCHA,KSFB,93.5
KCHS,KCVG,104.4
KCID,KIWA,201.4
KCID,KFLL,182.5
KCID,KLAS,211.2
KCID,KPGD,172.4
KCID,KPIE,156.4
KCID,KSFB,155.9
KCID,KSRQ,163.7
KCKB,KPIE,132.2
KCKB,KSFB,118
KCOS,KIWA,112
KCOS,KPIE,202.2
KCOS,KSNA,153.4
KCVG,KAUS,164
KCVG,KIWA,252.3
KCVG,KCHS,94.9
KCVG,KEYW,157.4
KCVG,KFLL,150.6
KCVG,KJKA,120.3
KCVG,KJAX,108.6
KCVG,KLAS,263.1
KCVG,KMLB,128
KCVG,KMSY,125.1
KCVG,KPBI,148.5
KCVG,KPGD,139.3
KCVG,KPIE,127.7
KCVG,KSAV,95.6
KCVG,KSFB,123
KCVG,KSRQ,132.8
KCVG,KVPS,109.9
KDAY,KPGD,141.9
KDAY,KPIE,135.5
KDAY,KSFB,131.1
KDEN,KAVL,169.4
KDSM,KAUS,141.3
KDSM,KIWA,188.4
KDSM,KBNA,94.8
KDSM,KFLL,185.9
KDSM,KJKA,146
KDSM,KLAS,198.1
KDSM,KPGD,178.4
KDSM,KPIE,164.4
KDSM,KRSW,184
KDSM,KSFB,164.2
KDSM,KSNA,233.3
KDSM,KSRQ,165.4
KELM,KPGD,174
KELM,KPIE,159.9
KELM,KSFB,153.1
KEUG,KIWA,152.5
KEUG,KLAS,114.6
KEUG,KSNA,130.5
KEVV,KPIE,117.8
KEVV,KSFB,114.3
KEWR,KAVL,120.3
KEWR,KTYS,120.9
KEWR,KVPS,175.7
KEYW,KAVL,129.7
KEYW,KCVG,167.2
KEYW,KIND,174.4
KEYW,KPIE,66.1
KEYW,KPIT,172.5
KEYW,KSFB,72.9
KEYW,KTYS,135
KFAR,KIWA,195.2
KFAR,KBNA,138.8
KFAR,KLAS,191
KFAR,KPIE,203.4
KFAR,KSFB,207.7
KFAT,KLAS,74.5
KGPI,KIWA,167.7
KGPI,KLAS,148.3
KFLL,KABE,176.4
KFLL,KACY,162
KFLL,KALB,192
KFLL,KATW,210.6
KFLL,KAVL,121.6
KFLL,KBGR,210
KFLL,KBLV,173.6
KFLL,KBNA,147.5
KFLL,KCAE,109
KFLL,KCAK,168.9
KFLL,KCHA,129
KFLL,KCID,205.1
KFLL,KCVG,162.4
KFLL,KDSM,214
KFLL,KFNT,191
KFLL,KFSD,238.2
KFLL,KFWA,175
KFLL,KGRR,192.9
KFLL,KGSP,115.1
KFLL,KHSV,133.8
KFLL,KHTS,149.9
KFLL,KIND,168.8
KFLL,KLCK,166.9
KFLL,KLEX,152.4
KFLL,KMDT,165.6
KFLL,KMEM,155.7
KFLL,KPBG,201.7
KFLL,KRFD,197
KFLL,KROC,183
KFLL,KSAV,90.2
KFLL,KSBN,179
KFLL,KSDF,158.8
KFLL,KSWF,190.9
KFLL,KSYR,191.6
KFLL,KTTN,180
KFLL,KTVC,212.2
KFLL,KTYS,127.7
KFLL,KJQF,123.5
KFLL,KXNA,190.3
KFNT,KIWA,260.7
KFNT,KBNA,99.8
KFNT,KFLL,185.7
KFNT,KJAX,144.6
KFNT,KLAS,267.9
KFNT,KPGD,178.3
KFNT,KPIE,168
KFNT,KSFB,155.4
KFNT,KSRQ,171.8
KFNT,KVPS,148.5
KFSD,KIWA,177.7
KFSD,KBNA,118.8
KFSD,KFLL,212.2
KFSD,KLAS,181.1
KFSD,KPGD,199.3
KFSD,KPIE,183.2
KFSD,KSFB,188.8
KFWA,KIWA,251
KFWA,KFLL,168
KFWA,KPGD,152.8
KFWA,KPIE,142.2
KFWA,KSFB,137.2
KFWA,KSRQ,146.2
KGEG,KIWA,162.5
KGEG,KLAS,137.1
KGFK,KIWA,198.8
KGFK,KLAS,193.3
KGRI,KIWA,151.8
KGRI,KLAS,159.8
KGRR,KAUS,185.4
KGRR,KIWA,252.1
KGRR,KBNA,96.4
KGRR,KFLL,184.4
KGRR,KJAX,136.6
KGRR,KLAS,261.2
KGRR,KPBI,172.7
KGRR,KPGD,173.5
KGRR,KPIE,162
KGRR,KSAV,127
KGRR,KSFB,156.3
KGRR,KSRQ,167.7
KGRR,KVPS,143.8
KGSO,KPIE,109.8
KGSP,KFLL,110.6
KGSP,KPIE,89.9
KGSP,KSFB,83.7
KGSP,KSRQ,98.2
KGTF,KIWA,154.8
KGTF,KLAS,136.8
KJKA,KATW,175
KJKA,KBLV,114.3
KJKA,KBNA,99
KJKA,KCVG,122.3
KJKA,KDSM,146
KHGR,KPIE,145.1
KHGR,KSFB,133.4
