origin,destination,avg_enroute_min
AYIU,SBCF,105
KFLL,SBBE,365
KFLL,SBKP,510
KMCO,SBCF,515
KMCO,SBKP,528
LEMD,SBKP,653
LEMD,SBRF,515
LPPR,SBKP,625
LPPR,SBRF,483
LPPT,SBKP,618
SBAE,SBKP,50
SBAE,SBPS,120
SBAQ,SBKP,55
SBAR,SBCF,124
SBAR,SBKP,165
SBAR,SBRF,80
SBAR,SBSV,65
SBAT,SBCY,69
SBAT,SBKP,155
SBAU,SBKP,75
SBAX,SBCF,90
SBBE,KFLL,375
SBBE,SBCF,182
SBBE,SBCJ,78
SBBE,SBEG,124
SBBE,SBFZ,115
SBBE,SBHT,65
SBBE,SBKP,210
SBBE,SBMA,65
SBBE,SBMD,110
SBBE,SBMQ,57
SBBE,SBRF,150
SBBE,SBSL,65
SBBE,SBSN,89
SBBE,SBTU,85
SBBE,SDOW,165
SBBE,SNSM,55
SBBR,SBCF,77
SBBR,SBKP,100
SBBR,SBRF,152
SBBR,SBSP,105
SBBT,SBKP,85
SBBV,SBEG,80
SBBW,SBCY,50
SBCA,SBCT,80
SBCA,SBKP,80
SBCF,AYIU,115
SBCF,KMCO,545
SBCF,SBAR,120
SBCF,SBAX,95
SBCF,SBBE,185
SBCF,SBBR,81
SBCF,SBCG,130
SBCF,SBCJ,152
SBCF,SBCT,101
SBCF,SBCY,134
SBCF,SBEG,217
SBCF,SBFI,132
SBCF,SBFL,115
SBCF,SBFZ,165
SBCF,SBGL,64
SBCF,SBGO,85
SBCF,SBGR,78
SBCF,SBGV,55
SBCF,SBIL,95
SBCF,SBIP,45
SBCF,SBIZ,150
SBCF,SBJE,170
SBCF,SBJP,154
SBCF,SBJR,110
SBCF,SBKG,150
SBCF,SBKP,75
SBCF,SBMA,155
SBCF,SBMK,75
SBCF,SBMO,131
SBCF,SBPA,140
SBCF,SBPJ,120
SBCF,SBPS,82
SBCF,SBPV,213
SBCF,SBRB,245
SBCF,SBRF,146
SBCF,SBRJ,65
SBCF,SBRP,90
SBCF,SBSG,160
SBCF,SBSL,165
SBCF,SBSP,82
SBCF,SBSR,110
SBCF,SBSV,101
SBCF,SBTC,85
SBCF,SBTE,150
SBCF,SBUL,93
SBCF,SBUR,85
SBCF,SBVC,88
SBCF,SBVG,83
SBCF,SBVT,64
SBCF,SNBR,140
SBCF,SNDV,48
SBCF,SNGI,110
SBCF,SNJM,65
SBCF,SNLN,110
SBCF,SNPD,95
SBCF,SNTO,90
SBCF,SNZR,110
SBCF,SUMU,190
SBCG,SBCF,123
SBCG,SBKP,90
SBCH,SBFL,60
SBCH,SBKP,85
SBCJ,SBBE,73
SBCJ,SBCF,145
SBCJ,SDOW,45
SBCR,SBKP,113
SBCT,SBCA,85
SBCT,SBCF,94
SBCT,SBFI,75
SBCT,SBGL,88
SBCT,SBGR,69
SBCT,SBKP,61
SBCT,SBLO,75
SBCT,SBMG,80
SBCT,SBPA,77
SBCT,SBPO,75
SBCT,SBSP,66
SBCT,SBTL,75
SBCT,SGAS,105
SBCT,SSGY,140
SBCT,SSUV,65
SBCX,SBKP,90
SBCY,SBAT,71
SBCY,SBBW,175
SBCY,SBCF,129
SBCY,SBGR,135
SBCY,SBJI,81
SBCY,SBKP,124
SBCY,SBPV,177
SBCY,SBSI,60
SBCY,SBSR,145
SBCY,SBVH,67
SBCY,SSKW,76
SBCY,SSOU,178
SBDB,SBKP,103
SBDN,SBKP,84
SBDN,SBPS,130
SBDN,SBSG,208
SBEG,SBBE,125
SBEG,SBBV,75
SBEG,SBCF,215
SBEG,SBIH,90
SBEG,SBKP,220
SBEG,SBMY,90
SBEG,SBPV,125
SBEG,SBRF,233
SBEG,SBSN,98
SBEG,SBTB,85
SBEG,SBTF,70
SBEG,SBTT,110
