airport,latitude,longitude,elevation_ft
KFLL,26.071667,-80.149694,65
KMCO,28.429389,-81.309,96
LEMD,40.472222,-3.560833,1998
LPPR,41.235556,-8.678056,227
LPPT,38.774167,-9.134167,355
SBAE,-22.157778,-49.068333,1961
SBAQ,-21.811944,-48.133056,2334
SBAR,-10.985278,-37.073333,23
SBAT,-9.866389,-56.105,948
SBAU,-21.144167,-50.426389,1358
SBAX,-19.563056,-46.960556,3276
SBBE,-1.384722,-48.478889,56
SBBR,-15.871111,-47.918611,3498
SBBV,2.841389,-60.692222,276
SBBW,-15.861389,-52.388889,1160
SBCA,-25.002222,-53.501944,2490
SBCF,-19.624444,-43.971944,2721
SBCG,-20.469444,-54.670278,1834
SBCH,-27.133889,-52.658889,2154
SBCJ,-6.117778,-50.003333,2064
SBCR,-19.011944,-57.671389,463
SBCT,-25.531667,-49.176111,2989
SBCX,-29.198056,-51.186667,2474
SBCY,-15.65,-56.1175,617
SBDB,-21.247222,-56.4525,1096
SBDN,-22.175,-51.424444,1483
SBEG,-3.041111,-60.050556,264
SBFI,-25.600278,-54.485,787
SBFL,-27.670278,-48.5525,17
SBFN,-3.854722,-32.428333,184
SBFZ,-3.775833,-38.532222,83
SBGL,-22.81,-43.250556,28
SBGO,-16.6325,-49.221111,2453
SBGR,-23.435556,-46.473056,2461
SBGV,-18.896111,-41.983333,563
SBHT,-3.250833,-52.252222,368
SBIH,-4.242222,-56.000833,102
SBIL,-14.815,-39.033333,14
SBIP,-19.470556,-42.488056,786
SBIZ,-5.530556,-47.458333,431
SBJE,-2.906667,-40.358056,89
SBJI,-10.870556,-61.846667,597
SBJP,-7.148333,-34.950278,217
SBJR,-22.9875,-43.37,10
SBJU,-7.219167,-39.269444,1342
SBJV,-26.223056,-48.797778,15
SBKG,-7.269167,-35.895,1647
SBKP,-23.006944,-47.134444,2170
SBLE,-12.482222,-41.276944,1660
SBLO,-23.330278,-51.136667,1867
SBMA,-5.368056,-49.138056,358
SBMD,-0.889722,-52.602222,676
SBMG,-23.476389,-52.017778,1801
SBMK,-16.706111,-43.821944,2192
SBML,-22.195556,-49.926944,2134
SBMO,-9.510833,-35.791667,388
SBMQ,0.050556,-51.072222,56
SBMY,-5.811111,-61.278333,174
SBNF,-26.878611,-48.650833,18
SBNM,-28.281667,-54.168333,1056
SBPA,-29.994722,-51.171111,30
SBPF,-28.244167,-52.328333,2380
SBPJ,-10.29,-48.357778,774
SBPK,-31.716111,-52.331111,59
SBPL,-9.3675,-40.563611,1263
SBPO,-26.217222,-52.694444,2700
SBPP,-22.549722,-55.703056,2156
SBPS,-16.438056,-39.077778,169
SBPV,-8.713611,-63.902778,295
SBRB,-9.868333,-67.898056,633
SBRD,-16.588056,-54.721667,1467
SBRF,-8.126389,-34.922778,33
SBRJ,-22.91,-43.1625,10
SBRP,-21.136389,-47.776667,1805
SBSG,-5.768889,-35.366389,273
SBSI,-11.885,-55.586111,1227
SBSL,-2.586944,-44.236111,177
SBSM,-29.710833,-53.692222,289
SBSN,-2.424722,-54.785833,197
SBSO,-12.472778,-55.668889,1266
SBSP,-23.626111,-46.656389,2634
SBSR,-20.817222,-49.406944,1785
SBSV,-12.908611,-38.3225,63
SBTB,-1.489722,-56.396944,168
SBTC,-15.353333,-38.997222,23
SBTE,-5.060556,-42.824444,220
SBTF,-3.380278,-64.725278,186
SBTT,-4.250556,-69.937778,263
SBTU,-3.776944,-49.719722,830
SBUA,-0.148056,-66.985833,251
SBUG,-29.783333,-57.036944,256
SBUL,-18.883611,-48.225278,3094
SBUR,-19.764722,-47.966111,2654
SBVC,-14.907778,-40.914722,2934
SBVG,-21.588889,-45.473333,3025
SBVH,-12.694444,-60.098333,2018
SBVT,-20.258056,-40.286389,34
SBZM,-21.513056,-43.173056,1352
SDOW,-6.763056,-51.05,751
SGAS,-25.241092,-57.516828,290
SIMK,-20.592222,-47.383056,3291
SJZA,-6.882778,-38.615833,1099
SNAB,-7.586389,-40.535278,2428
SNBR,-12.079167,-45.009444,2451
SNDV,-20.181944,-44.87,2637
SNEB,-3.019722,-47.316389,443
SNGI,-14.208056,-42.746111,1814
SNGN,-8.834444,-36.471389,2490
SNHS,-8.061389,-38.328611,1542
SNJM,-20.259722,-42.183889,2720
SNLN,-19.355278,-40.071389,138
SNMZ,-1.741389,-52.235833,52
SNPD,-18.672222,-46.491389,2794
SNRU,-8.284444,-36.010833,1891
SNSM,-0.696389,-47.336667,118
SNTO,-17.890833,-41.515,1575
SNTS,-7.037778,-37.2575,869
SNVS,-1.636389,-50.443333,98
SNZR,-17.242778,-46.883056,2398
SSGY,-24.079722,-54.188056,889
SSKW,-11.495556,-61.450833,817
SSOU,-10.185556,-59.457778,755
SSUM,-23.799167,-53.313889,1552
SSUV,-26.231944,-51.0675,2461
SULS,-34.8575,-55.098056,95
SUMU,-34.833889,-56.028056,105
SWBC,-0.981111,-62.919444,112
SWBR,-4.406111,-59.6025,98
SWLB,-7.278889,-64.769444,243
SWMW,-3.371944,-57.724722,69
SWPI,-2.673611,-56.7775,82
