origin,destination,avg_enroute_min
KACV,KBUR,105
KACV,KLAS,110
KALB,KCHS,142
KALB,KRDU,117
KALB,KRSW,210
KAVP,KMCO,172
KAVP,KMYR,105
KAVP,KRSW,190
KAVP,KTPA,173
KBDL,KCHS,148
KBDL,KCMH,122
KBDL,KCVG,128
KBDL,KDAB,186
KBDL,KEWN,113
KBDL,KGSO,124
KBDL,KGSP,136
KBDL,KILM,131
KBDL,KJAX,174
KBDL,KLAS,371
KBDL,KMCO,206
KBDL,KMYR,141
KBDL,KORF,98
KBDL,KPHX,364
KBDL,KPIT,99
KBDL,KRDU,122
KBDL,KRIC,108
KBDL,KRSW,215
KBDL,KSAV,163
KBDL,KSRQ,211
KBDL,KTPA,199
KBDL,KVRB,196
KBGR,KMCO,233
KBGR,KTPA,222
KBTV,KCHS,160
KBTV,KMCO,215
KBTV,KRDU,138
KBTV,KRSW,232
KBTV,KTPA,216
KBUR,KACV,115
KBUR,KPVU,105
KCAK,KCHS,109
KCAK,KDAB,145
KCAK,KFLL,180
KCAK,KILM,98
KCAK,KJAX,135
KCAK,KLAS,299
KCAK,KMCO,153
KCAK,KMYR,95
KCAK,KORF,85
KCAK,KPBI,166
KCAK,KRDU,83
KCAK,KRSW,171
KCAK,KSRQ,163
KCAK,KTPA,152
KCHS,KALB,134
KCHS,KBDL,125
KCHS,KBTV,145
KCHS,KCAK,112
KCHS,KCMH,104
KCHS,MMUN,170
KCHS,KCVG,113
KCHS,KHPN,131
KCHS,KHVN,126
KCHS,KISP,114
KCHS,KLAX,345
KCHS,KMCO,87
KCHS,KMHT,139
KCHS,KMSY,127
KCHS,KORF,79
KCHS,KPBI,97
KCHS,KPIT,106
KCHS,KPVD,127
KCHS,KPWM,143
KCHS,KRIC,80
KCHS,KROC,124
KCHS,KRSW,108
KCHS,KSDF,113
KCHS,KSWF,128
KCHS,KSYR,128
KCHS,KTPA,89
KCMH,KBDL,105
KCMH,KCHS,101
KCMH,KJAX,128
KCMH,KORF,89
KCMH,KPWM,123
KCMH,KRDU,86
KCMH,KRSW,160
KCRW,KEWR,98
KCRW,KMCO,129
KCRW,KTPA,130
MMUN,KCHS,155
MMUN,KMSY,125
MMUN,KORF,200
MMUN,KPVD,240
KCVG,KBDL,122
KCVG,KCHS,99
KCVG,KPVD,126
KCVG,KSAN,289
KCVG,KSFO,321
KDAB,KBDL,158
KDAB,KCAK,145
KDAB,KHPN,160
KDAB,KPVD,166
KDAB,KRDU,103
KDFW,KPVU,181
KERI,KMCO,174
KERI,KTPA,166
KEVV,KMCO,130
KEWN,KBDL,102
KEWN,KMCO,114
KEWR,KCRW,106
KEYW,KMCO,77
KEYW,KRDU,143
KEYW,KTPA,73
KFLL,KCAK,175
KFLL,KILM,115
KFLL,KMYR,105
KGJT,KLAS,95
KGJT,KSNA,138
KGPT,KLAS,255
KGPT,KMCO,99
KGPT,KTPA,89
KGSO,KBDL,109
KGSO,KMCO,107
KGSP,KBDL,126
KGSP,KLAX,337
KGSP,KMCO,100
KGSP,KPIT,96
KGSP,KPVD,122
KGSP,KRSW,108
KGSP,KTPA,100
KHPN,KCHS,132
KHPN,KDAB,172
KHPN,KJAX,158
KHPN,KMYR,120
KHPN,KRDU,107
KHPN,KSAV,136
KHPN,KSRQ,188
KHPN,KVRB,179
KHSV,KLAS,263
KHSV,KMCO,108
KHSV,KTPA,99
KHVN,KCHS,141
KHVN,KJAX,163
KHVN,KMCO,189
KHVN,KORF,95
KHVN,KPBI,201
KHVN,KRDU,109
KHVN,KRIC,89
KHVN,KRSW,210
KHVN,KVRB,190
KIAD,KOGS,91
KIAD,KPVU,301
KIAD,KSBN,119
KIAD,KTRI,88
KIAD,KVRB,158
KILM,KBDL,108
KILM,KCAK,99
KILM,KFLL,115
KILM,KISP,100
KILM,KMCO,116
KILM,KPVD,112
KILM,KRSW,118
KILM,KTPA,110
KISP,KCHS,132
KISP,KILM,110
KISP,KORF,82
KISP,KRDU,102
KISP,KRIC,86
KISP,KRSW,194
KISP,KSRQ,194
KISP,KVRB,184
KJAX,KBDL,145
KJAX,KCAK,135
KJAX,KCMH,130
KJAX,KHPN,143
KJAX,KHVN,142
KJAX,KLAS,317
KJAX,KLAX,339
KJAX,KMSY,105
KJAX,KORF,99
KJAX,KPVD,147
KJAX,KRDU,90
KJAX,KRIC,103
KJAX,KSAN,316
KLAN,KMCO,173
KLAN,KRSW,186
KLAS,KACV,130
KLAS,KBDL,299
KLAS,KCAK,255
KLAS,KGJT,98
KLAS,KGPT,213
KLAS,KHSV,219
KLAS,KJAX,257
KLAS,KLNK,160
KLAS,KMSY,205
KLAS,KORF,281
KLAS,KPVU,87
KLAS,KRDM,125
KLAS,KRIC,271
KLAS,KRSW,272
KLAS,KSNA,80
KLAS,KSYR,288
KLAS,KTWF,95
KLAX,KCHS,285
KLAX,KGSP,281
KLAX,KJAX,284
KLAX,KMSY,215
KLAX,KPIT,289
KLAX,KRDU,304
KLAX,KRIC,302
KLNK,KLAS,180
KLNK,KMCO,195
KLNS,KMCO,158
MKJS,KRDU,200
MKJS,KTPA,145
KMCO,KAVP,163
KMCO,KBDL,170
KMCO,KBGR,202
KMCO,KBTV,193
KMCO,KCAK,156
KMCO,KCHS,88
KMCO,KCRW,134
KMCO,KERI,162
KMCO,KEVV,151
KMCO,KEWN,109
KMCO,KEYW,76
KMCO,KGPT,115
KMCO,KGSO,116
KMCO,KGSP,109
KMCO,KHSV,120
KMCO,KHVN,167
KMCO,KILM,97
KMCO,KLAN,178
KMCO,KLNK,215
KMCO,KLNS,153
KMCO,KMHT,189
KMCO,KMSN,200
KMCO,KMSY,130
KMCO,KMYR,95
KMCO,KOGS,188
KMCO,KORF,123
KMCO,KPNS,100
KMCO,KPSM,182
KMCO,KPVD,174
KMCO,KPVU,317
KMCO,KPWM,187
KMCO,KRDU,116
KMCO,KSBN,176
KMCO,KSBY,135
KMCO,KSPI,175
KMCO,KSWF,176
KMCO,KTRI,115
KMCO,KXNA,176
KMEM,KPNS,86
KMEM,KRDU,117
KMEM,KTPA,116
KMHT,KCHS,157
KMHT,KMCO,207
KMHT,KMYR,145
KMHT,KRDU,125
KMHT,KRSW,222
KMSN,KMCO,183
KMSN,KTPA,174
KMSY,KCHS,107
KMSY,MMUN,125
KMSY,KJAX,94
KMSY,KLAS,240
KMSY,KLAX,264
KMSY,KMCO,107
KMSY,KMYR,125
KMSY,KORF,137
KMSY,KPIT,141
KMSY,KRDU,124
KMSY,KRIC,135
KMSY,KRSW,106
KMSY,KSAV,99
KMSY,KTPA,97
KMSY,KXNA,104
KMTJ,KSNA,133
KMYR,KAVP,105
KMYR,KBDL,114
KMYR,KCAK,100
KMYR,KFLL,110
KMYR,KHPN,114
KMYR,KMCO,100
KMYR,KMHT,130
KMYR,KMSY,135
KMYR,KPVD,117
KMYR,KROC,125
KMYR,KTPA,102
KOGD,KSNA,122
KOGS,KIAD,99
KOGS,KMCO,217
KOGS,KRDU,130
KORF,KBDL,87
KORF,KCAK,88
KORF,KCHS,84
KORF,KCMH,89
KORF,MMUN,220
KORF,KHVN,89
KORF,KISP,76
KORF,KJAX,115
KORF,KLAS,348
KORF,KMCO,132
KORF,KMSY,166
KORF,KPBI,146
KORF,KPHX,340
KORF,KPIT,82
KORF,KPVD,86
KORF,KRSW,149
KORF,KSAN,366
KORF,KTPA,139
KPBI,KCAK,164
KPBI,KCHS,100
KPBI,KHVN,178
KPBI,KORF,135
KPBI,KRDU,128
KPBI,KRIC,134
KPHX,KBDL,286
KPHX,KORF,262
KPHX,KPVU,101
KPHX,KRIC,255
KPIT,KBDL,90
KPIT,KCHS,106
KPIT,KGSP,97
KPIT,KLAX,343
KPIT,KMSY,165
KPIT,KORF,78
KPIT,KPVD,93
KPIT,KPWM,102
KPIT,KRDU,80
KPIT,KRSW,173
KPIT,KSAN,313
KPIT,KTPA,153
KPNS,KMCO,90
KPNS,KMEM,93
KPNS,KRDU,112
KPNS,KTPA,86
KPNS,KXNA,117
KPSM,KMCO,212
KPSM,KRDU,130
KPSM,KRSW,238
MDPC,KRDU,230
KPVD,KCHS,149
KPVD,MMUN,268
KPVD,KCVG,139
KPVD,KDAB,191
KPVD,KGSP,151
KPVD,KILM,131
KPVD,KJAX,178
KPVD,KMCO,203
KPVD,KMYR,137
KPVD,KORF,96
KPVD,KPIT,106
KPVD,KRDU,121
KPVD,KRIC,103
KPVD,KRSW,222
KPVD,KSAV,165
KPVD,KSRQ,213
KPVD,KTPA,199
KPVD,KVRB,199
KPVU,KBUR,115
KPVU,KDFW,169
KPVU,KIAD,249
KPVU,KLAS,93
KPVU,KMCO,265
KPVU,KPHX,108
KPVU,KSBD,110
KPVU,KSFO,140
KPVU,KSNA,120
KPWM,KCHS,161
KPWM,KCMH,133
KPWM,KMCO,214
KPWM,KPIT,111
KPWM,KRDU,136
KPWM,KRSW,230
KPWM,KSRQ,217
KPWM,KTPA,216
KRDM,KLAS,120
KRDU,KALB,102
KRDU,KBDL,103
KRDU,KBTV,125
KRDU,KCAK,92
KRDU,KCMH,88
KRDU,KDAB,104
KRDU,KEYW,143
KRDU,KHPN,102
KRDU,KHVN,101
KRDU,KISP,92
KRDU,KJAX,92
KRDU,KLAX,359
KRDU,MKJS,205
KRDU,KMCO,110
KRDU,KMEM,122
KRDU,KMHT,115
KRDU,KMSY,147
KRDU,KOGS,120
KRDU,KPBI,130
KRDU,KPIT,84
KRDU,KPNS,117
KRDU,KPSM,119
KRDU,MDPC,210
KRDU,KPVD,106
KRDU,KPWM,120
KRDU,KROC,105
KRDU,KRSW,129
KRDU,KSAN,353
KRDU,KSDF,95
KRDU,KSRQ,123
KRDU,KSYR,104
KRDU,KTPA,117
KRIC,KBDL,87
KRIC,KCHS,90
KRIC,KHVN,83
KRIC,KISP,75
KRIC,KJAX,113
KRIC,KLAS,334
KRIC,KLAX,366
KRIC,KMSY,166
KRIC,KPBI,143
KRIC,KPHX,332
KRIC,KPVD,89
KRIC,KRSW,160
KRIC,KSFO,384
KRIC,KSRQ,156
KRIC,KTPA,139
KROC,KCHS,128
KROC,KMYR,125
KROC,KRDU,105
KROC,KRSW,198
KROC,KTPA,185
KRSW,KALB,195
KRSW,KAVP,177
KRSW,KBDL,183
