origin,destination,avg_enroute_min
KMCO,SBBR,480
KMCO,SBFZ,460
KMIA,SBBE,370
KMIA,SBBR,460
MDPC,SBGR,420
SAAR,SBFL,120
SAAR,SBGL,171
SAAR,SBGR,169
SABE,SBBR,190
SABE,SBCF,195
SABE,SBFL,123
SABE,SBFZ,320
SABE,SBGL,180
SABE,SBGR,175
SABE,SBMO,275
SABE,SBPS,215
SABE,SBRF,300
SABE,SBSG,320
SABE,SBSV,250
SACO,SBFL,130
SACO,SBGL,190
SACO,SBGR,172
SACO,SBRF,315
SAEZ,SBCF,200
SAEZ,SBGL,176
SAEZ,SBMO,295
SAEZ,SBPS,230
SAEZ,SBRF,310
SAEZ,SBSG,325
SAEZ,SBSV,265
SAME,SBGL,225
SAME,SBGR,200
SBAR,SBGL,143
SBAR,SBGR,166
SBAR,SBSP,160
SBAR,SBSV,51
SBAU,SBSP,70
SBBE,KMIA,380
SBBE,SBBR,155
SBBE,SBGL,215
SBBE,SBGR,219
SBBE,SBMQ,56
SBBE,SBSN,90
SBBE,SMJP,118
SBBR,KMCO,495
SBBR,KMIA,474
SBBR,SABE,220
SBBR,SBBE,152
SBBR,SBBV,215
SBBR,SBCF,84
SBBR,SBCT,124
SBBR,SBCY,104
SBBR,SBEG,182
SBBR,SBFL,143
SBBR,SBFZ,153
SBBR,SBGL,104
SBBR,SBGO,51
SBBR,SBGR,111
SBBR,SBJP,161
SBBR,SBKP,102
SBBR,SBMA,115
SBBR,SBMO,145
SBBR,SBPA,167
SBBR,SBPJ,79
SBBR,SBPV,175
SBBR,SBRB,204
SBBR,SBRF,159
SBBR,SBRJ,101
SBBR,SBSG,163
SBBR,SBSL,145
SBBR,SBSP,110
SBBR,SBSV,114
SBBR,SBTE,131
SBBR,SBVT,110
SBBR,SKBO,329
SBBV,SBBR,210
SBBV,SBEG,80
SBCA,SBGR,95
SBCF,SABE,205
SBCF,SAEZ,200
SBCF,SBBR,82
SBCF,SBCJ,150
SBCF,SBGL,67
SBCF,SBGR,80
SBCF,SBPS,81
SBCF,SBSP,81
SBCF,SBSV,105
SBCG,SBGR,107
SBCG,SBSP,100
SBCH,SBFL,70
SBCH,SBGR,99
SBCJ,SBCF,145
SBCN,SBSP,85
SBCT,SBBR,114
SBCT,SBGL,84
SBCT,SBGR,75
SBCT,SBSP,64
SBCT,SBSV,160
SBCX,SBSP,92
SBCY,SBBR,96
SBCY,SBGL,155
SBCY,SBGO,90
SBCY,SBGR,134
SBCY,SBPV,115
SBCY,SBSP,135
SBCZ,SBRB,75
SBDB,SBSP,105
SBDN,SBSP,69
SBEG,SBBR,180
SBEG,SBBV,80
SBEG,SBFZ,205
SBEG,SBGL,240
SBEG,SBGR,243
SBEG,SBPV,90
SBEG,SBRB,115
SBEG,SBSN,72
SBFI,SBFZ,240
SBFI,SBGL,119
SBFI,SBGR,102
SBFI,SBSP,109
SBFL,SAAR,155
SBFL,SABE,141
SBFL,SACO,154
SBFL,SBBR,135
SBFL,SBCH,70
SBFL,SBGL,92
SBFL,SBGR,89
SBFL,SBPA,65
SBFL,SBSP,70
SBFN,SBGR,236
SBFN,SBRF,70
SBFZ,KMCO,475
SBFZ,SABE,345
SBFZ,SBBR,163
SBFZ,SBEG,210
SBFZ,SBFI,260
SBFZ,SBGL,200
SBFZ,SBGR,217
SBFZ,SBSP,220
SBFZ,SBSV,113
SBFZ,SUMU,334
SBGL,SAAR,215
SBGL,SABE,195
SBGL,SACO,226
SBGL,SAEZ,208
SBGL,SAME,285
SBGL,SBAR,140
SBGL,SBBE,210
SBGL,SBBR,108
SBGL,SBCF,69
SBGL,SBCT,94
SBGL,SBCY,180
SBGL,SBEG,244
SBGL,SBFI,136
SBGL,SBFL,99
SBGL,SBFZ,192
SBGL,SBGO,105
SBGL,SBGR,73
SBGL,SBJP,171
SBGL,SBKP,79
SBGL,SBMO,158
SBGL,SBNF,96
