report_source,Mkt Al,Op Al,Orig,Dest,Manu,Type,Aircraft Family,Aircraft Type,Equip,Flights,Seats,ASMs,Block Mins
2026-06,JA,J6,ADZ,BOG,Airbus,Narrow,A320,A320,320,43,7998,5982504,5805
2026-06,JA,J6,ADZ,CLO,Airbus,Narrow,A320,A320,320,30,5580,4017600,3810
2026-06,JA,J6,ADZ,MDE,Airbus,Narrow,A320,A320,320,69,12834,7892910,7590
2026-06,JA,J6,BAQ,BOG,Airbus,Narrow,A320,A320,320,33,6138,2627064,3133
2026-06,JA,J6,BAQ,MDE,Airbus,Narrow,A320,A320,320,24,4464,1464192,1920
2026-06,JA,J6,BGA,BOG,Airbus,Narrow,A320,A320,320,49,9114,1631406,2793
2026-06,JA,J6,BOG,ADZ,Airbus,Narrow,A320,A320,320,43,7998,5982504,5719
2026-06,JA,J6,BOG,BAQ,Airbus,Narrow,A320,A320,320,33,6138,2627064,3102
2026-06,JA,J6,BOG,BGA,Airbus,Narrow,A320,A320,320,49,9114,1631406,3136
2026-06,JA,J6,BOG,CLO,Airbus,Narrow,A320,A320,320,74,13764,2394936,5550
2026-06,JA,J6,BOG,CTG,Airbus,Narrow,A320,A320,320,132,24552,9943560,12804
2026-06,JA,J6,BOG,CUC,Airbus,Narrow,A320,A320,320,35,6510,1614480,2450
2026-06,JA,J6,BOG,MDE,Airbus,Narrow,A320,A320,320,242,45012,5986596,15962
2026-06,JA,J6,BOG,MTR,Airbus,Narrow,A320,A320,320,30,5580,1685160,2550
2026-06,JA,J6,BOG,PEI,Airbus,Narrow,A320,A320,320,89,16554,1837494,6408
2026-06,JA,J6,BOG,SMR,Airbus,Narrow,A320,A320,320,95,17670,7792470,9405
2026-06,JA,J6,CLO,ADZ,Airbus,Narrow,A320,A320,320,30,5580,4017600,3630
2026-06,JA,J6,CLO,BOG,Airbus,Narrow,A320,A320,320,74,13764,2394936,4705
2026-06,JA,J6,CLO,CTG,Airbus,Narrow,A320,A320,320,42,7812,3734136,3882
2026-06,JA,J6,CLO,MDE,Airbus,Narrow,A320,A320,320,72,13392,2571264,4027
2026-06,JA,J6,CLO,PUJ,Airbus,Narrow,A320,A320,320,13,2418,2819388,2301
2026-06,JA,J6,CLO,SMR,Airbus,Narrow,A320,A320,320,43,7998,4326918,4171
2026-06,JA,J6,CTG,BOG,Airbus,Narrow,A320,A320,320,133,24738,10018890,12346
2026-06,JA,J6,CTG,CLO,Airbus,Narrow,A320,A320,320,42,7812,3734136,3990
2026-06,JA,J6,CTG,MDE,Airbus,Narrow,A320,A320,320,142,26412,7765128,11166
2026-06,JA,J6,CTG,PEI,Airbus,Narrow,A320,A320,320,30,5580,2159460,2580
2026-06,JA,J6,CUC,BOG,Airbus,Narrow,A320,A320,320,35,6510,1614480,2243
2026-06,JA,J6,CUC,MDE,Airbus,Narrow,A320,A320,320,30,5580,1305720,2070
2026-06,JA,J6,MDE,ADZ,Airbus,Narrow,A320,A320,320,69,12834,7892910,7659
2026-06,JA,J6,MDE,BAQ,Airbus,Narrow,A320,A320,320,24,4464,1464192,1848
2026-06,JA,J6,MDE,BOG,Airbus,Narrow,A320,A320,320,241,44826,5961858,14405
2026-06,JA,J6,MDE,CLO,Airbus,Narrow,A320,A320,320,73,13578,2606976,4871
2026-06,JA,J6,MDE,CTG,Airbus,Narrow,A320,A320,320,143,26598,7819812,10290
2026-06,JA,J6,MDE,CUC,Airbus,Narrow,A320,A320,320,30,5580,1305720,2130
2026-06,JA,J6,MDE,MTR,Airbus,Narrow,A320,A320,320,30,5580,1004400,1830
2026-06,JA,J6,MDE,PUJ,Airbus,Narrow,A320,A320,320,12,2232,2178432,1848
2026-06,JA,J6,MDE,SCL,Airbus,Narrow,A320,A320,320,17,3162,8654394,6290
2026-06,JA,J6,MDE,SMR,Airbus,Narrow,A320,A320,320,75,13950,4882500,5992
2026-06,JA,J6,MTR,BOG,Airbus,Narrow,A320,A320,320,30,5580,1685160,2370
2026-06,JA,J6,MTR,MDE,Airbus,Narrow,A320,A320,320,30,5580,1004400,1830
2026-06,JA,J6,PEI,BOG,Airbus,Narrow,A320,A320,320,89,16554,1837494,5150
2026-06,JA,J6,PEI,CTG,Airbus,Narrow,A320,A320,320,30,5580,2159460,2400
2026-06,JA,J6,PUJ,CLO,Airbus,Narrow,A320,A320,320,12,2232,2602512,2160
2026-06,JA,J6,PUJ,MDE,Airbus,Narrow,A320,A320,320,13,2418,2359968,2015
2026-06,JA,J6,SCL,MDE,Airbus,Narrow,A320,A320,320,18,3348,9163476,6912
2026-06,JA,J6,SMR,BOG,Airbus,Narrow,A320,A320,320,95,17670,7792470,8550
2026-06,JA,J6,SMR,CLO,Airbus,Narrow,A320,A320,320,43,7998,4326918,4252
2026-06,JA,J6,SMR,MDE,Airbus,Narrow,A320,A320,320,75,13950,4882500,5763
2026-06,JA,JA,AEP,SCL,Airbus,Narrow,A320,A320,320,16,2976,2124864,2336
2026-06,JA,JA,AEP,SCL,Airbus,Narrow,A320,A321,321,12,2880,2056320,1752
2026-06,JA,JA,ANF,CCP,Airbus,Narrow,A320,A320,320,38,7068,6587376,5586
2026-06,JA,JA,ANF,CLO,Airbus,Narrow,A320,A320,320,10,1860,3530280,2810
2026-06,JA,JA,ANF,CLO,Airbus,Narrow,A320,A321,321,3,720,1366560,843
2026-06,JA,JA,ANF,LSC,Airbus,Narrow,A320,A320,320,28,5208,2333184,2492
2026-06,JA,JA,ANF,LSC,Airbus,Narrow,A320,A321,321,2,480,215040,178
2026-06,JA,JA,ANF,SCL,Airbus,Narrow,A320,A320,320,28,5208,3567480,3271
2026-06,JA,JA,ANF,SCL,Airbus,Narrow,A320,A321,321,32,7680,5260800,3734
2026-06,JA,JA,ARI,LSC,Airbus,Narrow,A320,A320,320,17,3162,2526438,2142
2026-06,JA,JA,CCP,ANF,Airbus,Narrow,A320,A320,320,38,7068,6587376,5510
2026-06,JA,JA,CCP,CJC,Airbus,Narrow,A320,A320,320,29,5394,5474910,4437
2026-06,JA,JA,CCP,CJC,Airbus,Narrow,A320,A321,321,2,480,487200,306
2026-06,JA,JA,CCP,IQQ,Airbus,Narrow,A320,A320,320,22,4092,4718076,3696
2026-06,JA,JA,CCP,LSC,Airbus,Narrow,A320,A320,320,17,3162,1533570,1496
2026-06,JA,JA,CCP,SCL,Airbus,Narrow,A320,A320,320,23,4278,1142226,1587
2026-06,JA,JA,CCP,SCL,Airbus,Narrow,A320,A321,321,2,480,128160,138
2026-06,JA,JA,CJC,CCP,Airbus,Narrow,A320,A320,320,24,4464,4530960,3816
2026-06,JA,JA,CJC,CCP,Airbus,Narrow,A320,A321,321,2,480,487200,318
2026-06,JA,JA,CJC,LSC,Airbus,Narrow,A320,A320,320,19,3534,1873020,1919
2026-06,JA,JA,CJC,LSC,Airbus,Narrow,A320,A321,321,10,2400,1272000,1010
2026-06,JA,JA,CJC,SCL,Airbus,Narrow,A320,A320,320,46,8556,6494004,5842
2026-06,JA,JA,CJC,SCL,Airbus,Narrow,A320,A321,321,20,4800,3643200,2546
2026-06,JA,JA,CLO,ANF,Airbus,Narrow,A320,A320,320,10,1860,3530280,2650
2026-06,JA,JA,CLO,ANF,Airbus,Narrow,A320,A321,321,3,720,1366560,795
2026-06,JA,JA,CLO,SCL,Airbus,Narrow,A320,A320,320,12,2232,5727312,4104
2026-06,JA,JA,CLO,SCL,Airbus,Narrow,A320,A321,321,5,1200,3079200,1710
2026-06,JA,JA,EZE,SCL,Airbus,Narrow,A320,A321,321,1,240,170160,146
2026-06,JA,JA,GIG,MDZ,Airbus,Narrow,A320,A321,321,8,1920,3269760,2160
2026-06,JA,JA,GIG,MVD,Airbus,Narrow,A320,A320,320,2,372,421476,388
2026-06,JA,JA,GIG,MVD,Airbus,Narrow,A320,A321,321,28,6720,7613760,5432
2026-06,JA,JA,GIG,SCL,Airbus,Narrow,A320,A320,320,3,558,1018350,900
2026-06,JA,JA,GIG,SCL,Airbus,Narrow,A320,A321,321,49,11760,21462000,14700
2026-06,JA,JA,GRU,SCL,Airbus,Narrow,A320,A320,320,10,1860,3024360,2690
2026-06,JA,JA,GRU,SCL,Airbus,Narrow,A320,A321,321,41,9840,15999840,11029
2026-06,JA,JA,IGU,SCL,Airbus,Narrow,A320,A320,320,2,372,414780,396
2026-06,JA,JA,IGU,SCL,Airbus,Narrow,A320,A321,321,6,1440,1605600,1188
2026-06,JA,JA,IQQ,CCP,Airbus,Narrow,A320,A320,320,22,4092,4718076,3762
2026-06,JA,JA,IQQ,LSC,Airbus,Narrow,A320,A320,320,17,3162,2118540,1904
2026-06,JA,JA,IQQ,LSC,Airbus,Narrow,A320,A321,321,13,3120,2090400,1456
2026-06,JA,JA,IQQ,SCL,Airbus,Narrow,A320,A320,320,4,744,674808,552
2026-06,JA,JA,IQQ,SCL,Airbus,Narrow,A320,A321,321,28,6720,6095040,3864
2026-06,JA,JA,LIM,SCL,Airbus,Narrow,A320,A320,320,6,1116,1700784,1326
2026-06,JA,JA,LIM,SCL,Airbus,Narrow,A320,A321,321,2,480,731520,442
