airport,latitude,longitude,elevation_ft
MDPC,18.567093,-68.364558,47
SABE,-34.559419,-58.415536,18
SACO,-31.312346,-64.208329,1604
SAEZ,-34.8222,-58.5358,67
SAME,-32.831699,-68.7929,2310
SANT,-26.837397,-65.104195,1493
SARE,-27.44991,-59.056125,173
SARI,-25.737301,-54.4734,916
SASA,-24.856001,-65.486198,4088
SAVC,-45.786941,-67.463355,189
SAVT,-43.2105,-65.2703,141
SAWH,-54.8433,-68.2958,102
SAZN,-38.949001,-68.155701,895
SAZS,-41.151199,-71.157501,2774
SAZY,-40.075401,-71.137299,2569
SBFI,-25.594167,-54.489444,786
SBGL,-22.809999,-43.250557,28
SBGR,-23.431274,-46.469954,2461
SBRF,-8.12747,-34.922961,33
SBSG,-5.769822,-35.36661,273
SCAR,-18.348499,-70.338699,167
SCCF,-22.498199,-68.903603,7543
SCDA,-20.536273,-70.181373,155
SCEL,-33.393001556396484,-70.78579711914062,1555
SCFA,-23.445274,-70.445232,455
SCIE,-36.77235,-73.062828,26
SCQP,-38.9259,-72.6515,333
SCSE,-29.916201,-71.199501,481
SCTE,-41.443093,-73.094065,294
SEQM,-0.125399,-78.354306,7841
SGAS,-25.240156,-57.519227,292
SKBG,7.1265,-73.1848,3897
SKBO,4.70159,-74.1469,8361
SKBQ,10.8896,-74.7808,98
SKCC,7.92757,-72.5115,1096
SKCG,10.4424,-75.513,4
SKCL,3.542717,-76.381898,3162
SKMR,8.82374,-75.8258,41
SKPE,4.81267,-75.7395,4416
SKRG,6.16454,-75.4231,6955
SKSM,11.1196,-74.2306,22
SKSP,12.5836,-81.7112,19
SPHI,-6.789223,-79.828254,97
SPJC,-12.0219,-77.114305,113
SPJR,-7.13918,-78.489403,8781
SPQU,-16.340786,-71.569485,8405
SPRU,-8.082382,-79.108821,106
SPST,-6.508739948272705,-76.37319946289062,869
SPUR,-5.20575,-80.616402,120
SPZO,-13.535699844400002,-71.9387969971,10860
SUMU,-34.835647,-56.026497,105
