origin,destination,avg_enroute_min
MDPC,SKCL,180.0
MDPC,SKRG,155.0
SABE,SACO,88.0
SABE,SAME,119.0
SABE,SANT,120.0
SABE,SARE,95.0
SABE,SARI,114.0
SABE,SASA,136.0
SABE,SAVC,149.0
SABE,SAVT,125.0
SABE,SAWH,218.0
SABE,SAZN,119.0
SABE,SAZS,145.0
SABE,SAZY,142.0
SABE,SBGL,175.2
SABE,SBRF,316.0
SABE,SBSG,335.0
SABE,SCEL,146.9
SABE,SGAS,112.0
SABE,SPJC,293.0
SACO,SABE,78.0
SAEZ,SAME,119.0
SAEZ,SANT,120.0
SAEZ,SARI,114.0
SAEZ,SASA,136.0
SAEZ,SAVT,125.0
SAEZ,SAWH,218.0
SAEZ,SAZN,119.0
SAEZ,SAZS,145.0
SAEZ,SAZY,142.0
SAEZ,SBGL,175.2
SAEZ,SBRF,316.0
SAEZ,SCEL,146.0
SAME,SABE,99.0
SAME,SAEZ,99.0
SAME,SASA,99.0
SAME,SBGL,218.0
SAME,SCEL,64.0
SANT,SABE,108.0
SANT,SAEZ,108.0
SARE,SABE,91.0
SARI,SABE,120.0
SARI,SAEZ,120.0
SASA,SABE,125.0
SASA,SAEZ,125.0
SASA,SAME,105.0
SASA,SAZN,155.0
SAVC,SABE,140.0
SAVT,SABE,117.0
SAWH,SABE,210.0
SAWH,SAEZ,210.0
SAZN,SABE,100.0
SAZN,SAEZ,100.0
SAZN,SASA,147.0
SAZS,SABE,125.0
SAZS,SAEZ,125.0
SAZS,SUMU,171.0
SAZY,SABE,120.0
SAZY,SAEZ,120.0
SBFI,SCEL,198.0
SBGL,SABE,205.0
SBGL,SAEZ,208.0
SBGL,SAME,270.0
SBGL,SCEL,300.0
SBGL,SUMU,194.0
SBGR,SCEL,269.0
SBRF,SABE,330.0
SBRF,SAEZ,330.0
SBRF,SUMU,306.0
SBSG,SABE,355.0
SCAR,SCSE,126.0
SCCF,SCEL,127.1
SCCF,SCIE,159.0
SCCF,SCSE,101.0
SCDA,SCEL,138.0
SCDA,SCIE,171.0
SCDA,SCSE,112.0
SCEL,SABE,129.6
SCEL,SAEZ,128.0
SCEL,SAME,66.0
SCEL,SBFI,176.0
SCEL,SBGL,248.0
SCEL,SBGR,235.0
SCEL,SCCF,130.1
SCEL,SCDA,146.0
SCEL,SCFA,125.2
SCEL,SCIE,69.9
SCEL,SCQP,88.0
SCEL,SCSE,71.0
SCEL,SCTE,109.0
SCEL,SKCL,365.0
SCEL,SKRG,384.0
SCEL,SPJC,239.0
SCEL,SPRU,268.0
SCFA,SCEL,117.4
SCFA,SCIE,147.0
SCFA,SCSE,89.0
SCFA,SKCL,281.0
SCIE,SCCF,153.0
SCIE,SCDA,168.0
SCIE,SCEL,69.0
SCIE,SCFA,145.0
SCIE,SCSE,88.0
SCQP,SCEL,85.0
SCSE,SCAR,123.0
SCSE,SCCF,90.0
SCSE,SCDA,108.0
SCSE,SCEL,60.0
SCSE,SCFA,82.0
SCSE,SCIE,89.0
SCTE,SCEL,104.0
SEQM,SPJC,136.0
SGAS,SABE,115.0
SGAS,SAEZ,115.0
SKBG,SKBO,57.0
SKBO,SKBG,64.0
SKBO,SKBQ,94.0
SKBO,SKCC,70.0
SKBO,SKCG,97.0
SKBO,SKCL,75.0
SKBO,SKMR,85.0
SKBO,SKPE,72.0
SKBO,SKRG,66.0
SKBO,SKSM,99.0
SKBO,SKSP,133.0
SKBQ,SKBO,95.0
SKBQ,SKRG,80.0
SKCC,SKBO,64.1
SKCC,SKRG,69.0
SKCG,SKBO,92.8
SKCG,SKCL,95.0
SKCG,SKPE,86.0
SKCG,SKRG,78.6
SKCG,SPJC,219.0
SKCL,MDPC,177.0
SKCL,SCEL,342.0
SKCL,SCFA,265.0
SKCL,SKBO,63.8
SKCL,SKCG,92.4
SKCL,SKRG,55.9
SKCL,SKSM,97.0
SKCL,SKSP,121.0
SKMR,SKBO,79.0
SKMR,SKRG,61.0
SKPE,SKBO,57.9
SKPE,SKCG,80.0
SKRG,MDPC,154.0
SKRG,SCEL,370.0
SKRG,SKBO,59.8
SKRG,SKBQ,77.0
SKRG,SKCC,71.0
SKRG,SKCG,72.0
SKRG,SKCL,66.8
SKRG,SKMR,61.0
SKRG,SKSM,79.9
SKRG,SKSP,111.0
SKRG,SPJC,190.0
SKSM,SKBO,90.0
SKSM,SKCL,98.9
SKSM,SKRG,76.8
SKSP,SKBO,135.0
SKSP,SKCL,127.0
SKSP,SKRG,110.0
SPHI,SPJC,83.9
SPJC,SABE,265.0
SPJC,SCEL,221.0
SPJC,SEQM,144.0
SPJC,SKCG,226.0
SPJC,SKRG,195.0
SPJC,SPHI,91.0
SPJC,SPJR,85.0
SPJC,SPQU,92.0
SPJC,SPST,90.0
SPJC,SPUR,110.0
SPJC,SPZO,85.0
SPJR,SPJC,74.0
SPQU,SPJC,100.0
SPQU,SPZO,65.0
SPRU,SCEL,244.0
SPST,SPJC,83.8
SPUR,SPJC,93.0
SPZO,SPJC,99.9
SUMU,SAZS,171.0
SUMU,SBGL,165.0
SUMU,SBRF,306.0
