airport,latitude,longitude,elevation_ft
EBBR,50.901402,4.48444,175
EDDF,50.026706,8.55835,364
EGLL,51.470748,-0.459909,83
EGYP,-51.822642,-58.445777,244
EHAM,52.308601,4.76389,-11
FACT,-33.97403,18.604333,151
FAOR,-26.140081,28.246801,5558
KBOS,42.36197,-71.0079,20
KJFK,40.639447,-73.779317,13
KLAX,33.942501,-118.407997,125
KMCO,28.429399490356445,-81.30899810791016,96
KMIA,25.796011,-80.289751,8
LEBL,41.2971,2.07846,12
LEMD,40.493407,-3.572249,1998
LFPG,49.00896,2.554117,392
LIMC,45.6306,8.72811,768
LIRF,41.804532,12.251998,13
LPPT,38.7813,-9.13592,374
MDPC,18.567093,-68.364558,47
MMMX,19.435822,-99.07033,7316
MMUN,21.040817,-86.87347,22
NZAA,-37.01199,174.786331,23
SAAR,-32.9036,-60.785,85
SABE,-34.559419,-58.415536,18
SACO,-31.312346,-64.208329,1604
SAEZ,-34.8222,-58.5358,67
SAME,-32.831699,-68.7929,2310
SAWG,-51.608791,-69.308948,61
SAWH,-54.8433,-68.2958,102
SAZN,-38.949001,-68.155701,895
SAZS,-41.151199,-71.157501,2774
SBAR,-10.98394,-37.072873,23
SBBE,-1.379279,-48.476207,54
SBBR,-15.869167,-47.920834,3497
SBBV,2.84615,-60.690648,276
SBCA,-25.000323,-53.501208,2481
SBCF,-19.63571,-43.966928,2721
SBCG,-20.469998,-54.673988,1833
SBCH,-27.134199,-52.656601,2154
SBCN,-17.725096,-48.606324,2307
SBCT,-25.5285,-49.1758,2988
SBCX,-29.197183,-51.187647,2472
SBCY,-15.6529,-56.116699,617
SBDB,-21.2473,-56.452399,1180
SBDO,-22.2019,-54.926601,1503
SBEG,-3.03861,-60.049702,264
SBFI,-25.594167,-54.489444,786
SBFL,-27.670279,-48.552502,16
SBFN,-3.854534,-32.423017,193
SBFZ,-3.775833,-38.532222,83
SBGL,-22.809999,-43.250557,28
SBGO,-16.632,-49.220699,2450
SBGR,-23.431274,-46.469954,2461
SBIL,-14.815929,-39.033458,15
SBIZ,-5.53129,-47.459999,430
SBJA,-28.6753,-49.0596,120
SBJE,-2.906425,-40.357338,89
SBJP,-7.148691,-34.950554,217
SBJU,-7.21932,-39.269096,1342
SBJV,-26.224501,-48.797401,15
SBKG,-7.269662,-35.896057,1646
SBKP,-23.007404,-47.134502,2170
SBLO,-23.334375,-51.128365,1867
SBMA,-5.36859,-49.138,357
SBMG,-23.47606,-52.016187,1801
SBMK,-16.706919,-43.818901,2191
SBMO,-9.512559,-35.791839,387
SBMQ,0.050664,-51.072201,56
SBNF,-26.879431,-48.650979,18
SBPA,-29.993984,-51.167482,11
SBPB,-2.89375,-41.731998,23
SBPF,-28.243976,-52.32777,2380
SBPJ,-10.2915,-48.356998,774
SBPK,-31.717189,-52.327796,59
SBPL,-9.362422,-40.569098,1263
SBPS,-16.438426,-39.080584,169
SBPV,-8.708491,-63.902338,295
SBRB,-9.869031,-67.893984,633
SBRF,-8.12747,-34.922961,33
SBRJ,-22.910397,-43.16282,11
SBRP,-21.134314,-47.774053,1805
SBSG,-5.769822,-35.36661,273
SBSI,-11.885001,-55.586109,1227
SBSL,-2.586386,-44.235008,178
SBSN,-2.422423,-54.79306,198
SBSP,-23.627657,-46.654601,2631
SBSR,-20.817113,-49.406963,1784
SBSV,-12.908611,-38.322498,64
SBTC,-15.354358,-38.998729,23
SBTE,-5.06025,-42.823712,219
SBUL,-18.883579,-48.225936,3094
SBUR,-19.765036,-47.964805,2655
SBVC,-14.907885,-40.914804,2940
SBVT,-20.258,-40.285,34
SBZM,-21.513086,-43.173069,1348
SCAR,-18.348499,-70.338699,167
SCAT,-27.2612,-70.779198,670
SCBA,-45.915968,-71.689499,1722
SCCF,-22.498199,-68.903603,7543
SCCI,-53.002602,-70.854599,139
SCDA,-20.536273,-70.181373,155
SCEL,-33.393001556396484,-70.78579711914062,1555
SCFA,-23.445274,-70.445232,455
SCIE,-36.77235,-73.062828,26
SCIP,-27.165411,-109.421027,227
SCJO,-40.611198,-73.060997,187
SCPQ,-42.340388,-73.715693,528
SCQP,-38.9259,-72.6515,333
SCSE,-29.916201,-71.199501,481
SCTE,-41.443093,-73.094065,294
SCVD,-39.6500015259,-73.0860977173,59
SKBO,4.70159,-74.1469,8361
SLLP,-16.510272,-68.189416,13355
SLVR,-17.6448,-63.135399,1224
SPJC,-12.0219,-77.114305,113
SUMU,-34.835647,-56.026497,105
YMML,-37.670732,144.837898,434
YSSY,-33.946098,151.177002,21
