origin,destination,avg_enroute_min
EBBR,SBGR,721.2
EDDF,SBGR,725.0
EGLL,SBGR,685.0
EGYP,SAWG,89.0
EGYP,SCCI,99.3
EHAM,SBGR,745.6
FACT,SBGR,540.0
FAOR,SBGR,621.2
KBOS,SBGR,580.8
KJFK,SBGR,584.7
KJFK,SCEL,635.0
KLAX,SBGR,696.0
KLAX,SCEL,640.0
KMCO,SBGR,516.4
KMIA,MDPC,145.0
KMIA,MMUN,125.0
KMIA,SAEZ,532.1
KMIA,SBFZ,410.0
KMIA,SBGR,500.2
KMIA,SCEL,489.9
LEBL,SBGR,658.3
LEMD,SBGR,635.0
LEMD,SCEL,804.4
LFPG,SBGR,710.0
LIMC,SBGR,720.0
LIRF,SBGR,719.5
LPPT,SBFZ,480.0
LPPT,SBGR,609.7
MDPC,KMIA,160.0
MDPC,SBGR,400.0
MDPC,SCEL,455.0
MMMX,SBGR,543.3
MMUN,KMIA,105.0
MMUN,SCEL,460.0
NZAA,SCEL,663.5
SAAR,SBGR,169.4
SABE,SBGL,170.0
SABE,SBGR,161.6
SABE,SBPA,90.0
SABE,SCEL,143.9
SACO,SBGR,186.5
SACO,SCEL,86.7
SAEZ,KMIA,542.8
SAEZ,SBGL,180.0
SAEZ,SBGR,160.0
SAEZ,SBRF,310.0
SAEZ,SCEL,135.3
SAME,SBGR,205.6
SAME,SCEL,60.2
SAWG,EGYP,83.0
SAWG,SCCI,55.0
SAWH,SBGR,326.1
SAZN,SCEL,82.5
SAZS,SBGR,252.7
SBAR,SBBR,135.0
SBAR,SBGR,166.3
SBAR,SBSP,170.0
SBBE,SBBR,157.5
SBBE,SBEG,130.0
SBBE,SBFZ,120.0
SBBE,SBGR,220.9
SBBE,SBMQ,55.0
SBBR,SBAR,130.0
SBBR,SBBE,152.5
SBBR,SBBV,215.8
SBBR,SBCF,75.0
SBBR,SBCG,105.8
SBBR,SBCT,118.3
SBBR,SBCY,105.0
SBBR,SBEG,179.9
SBBR,SBFI,135.0
SBBR,SBFL,135.0
SBBR,SBFZ,156.6
SBBR,SBGL,103.4
SBBR,SBGO,46.6
SBBR,SBGR,103.8
SBBR,SBIZ,115.0
SBBR,SBJP,157.6
SBBR,SBKG,136.8
SBBR,SBKP,96.8
SBBR,SBMA,115.0
SBBR,SBMO,145.1
SBBR,SBMQ,165.0
SBBR,SBPA,158.2
SBBR,SBPJ,75.3
SBBR,SBPS,100.0
SBBR,SBPV,180.0
SBBR,SBRB,205.0
SBBR,SBRF,154.8
SBBR,SBRJ,100.0
SBBR,SBSG,159.9
SBBR,SBSI,105.0
SBBR,SBSL,145.0
SBBR,SBSN,155.0
SBBR,SBSP,104.5
SBBR,SBSV,112.5
SBBR,SBTE,130.0
SBBR,SBUL,60.0
SBBR,SBVT,105.0
SBBR,SCEL,291.5
SBBV,SBBR,215.0
SBBV,SBGR,290.0
SBCA,SBGR,97.9
SBCF,SBBR,85.0
SBCF,SBFZ,169.7
SBCF,SBGR,81.0
SBCF,SBPA,135.0
SBCF,SBPS,75.0
SBCF,SBSP,80.9
SBCF,SCEL,300.6
SBCG,SBBR,97.5
SBCG,SBGR,102.5
SBCG,SBSP,101.4
SBCH,SBGR,97.0
SBCN,SBGR,86.6
SBCT,SBBR,115.0
SBCT,SBFI,75.0
SBCT,SBGL,85.0
SBCT,SBGR,75.8
SBCT,SBPA,74.9
SBCT,SBSP,64.5
SBCT,SCEL,230.0
SBCX,SBGR,99.8
SBCY,SBBR,100.0
SBCY,SBGR,136.0
SBCY,SBSP,135.3
SBDB,SBGR,113.8
SBDO,SBGR,107.7
SBEG,SBBE,130.0
SBEG,SBBR,177.4
SBEG,SBFZ,205.0
SBEG,SBGL,250.0
SBEG,SBGR,235.2
SBFI,SBBR,120.0
SBFI,SBCT,70.0
SBFI,SBGL,115.5
SBFI,SBGR,103.8
SBFI,SBSP,93.3
SBFL,SBBR,132.9
SBFL,SBGR,86.5
SBFL,SBPA,65.0
SBFL,SBSP,70.1
SBFL,SCEL,223.9
SBFN,SBGR,236.2
SBFZ,KMIA,430.0
SBFZ,LPPT,415.0
SBFZ,SBBE,120.0
SBFZ,SBBR,163.2
SBFZ,SBCF,170.0
SBFZ,SBEG,205.0
SBFZ,SBGL,203.4
SBFZ,SBGR,211.6
SBFZ,SBJU,60.0
SBFZ,SBPB,62.2
SBFZ,SBRF,75.0
SBFZ,SBSG,60.0
