report_source,Mkt Al,Op Al,Orig,Dest,Manu,Type,Aircraft Family,Aircraft Type,Equip,Flights,Seats,ASMs,Block Mins
2026-06,LA,JJ,AEP,GIG,Airbus,Narrow,A320,A320,320,30,"5,220","6,389,280","5,100"
2026-06,LA,JJ,AEP,GRU,Airbus,Narrow,A320,A320,320,176,"30,296","31,871,392","28,440"
2026-06,LA,JJ,AEP,POA,Airbus,Narrow,A320,A320,320,13,"2,264","1,195,392","1,170"
2026-06,LA,JJ,AJU,BSB,Airbus,Narrow,A320,A320,320,10,"1,746","1,403,784","1,350"
2026-06,LA,JJ,AJU,BSB,Airbus,Narrow,A320,A321,321,24,"5,220","4,196,880","3,240"
2026-06,LA,JJ,AJU,CGH,Airbus,Narrow,A320,A319,319,3,420,"451,500",510
2026-06,LA,JJ,AJU,CGH,Airbus,Narrow,A320,A320,320,3,528,"567,600",510
2026-06,LA,JJ,AJU,GRU,Airbus,Narrow,A320,A319,319,3,408,"431,664",510
2026-06,LA,JJ,AJU,GRU,Airbus,Narrow,A320,A320,320,35,"6,112","6,466,496","5,745"
2026-06,LA,JJ,AJU,GRU,Airbus,Narrow,A320,A321,321,52,"11,330","11,987,140","8,635"
2026-06,LA,JJ,AMS,GRU,Boeing,Wide,B787,B787-9,789,26,"7,800","47,260,200","18,825"
2026-06,LA,JJ,BCN,GRU,Boeing,Wide,B777,B777-300 Passenger,773,9,"3,690","20,047,770","5,860"
2026-06,LA,JJ,BCN,GRU,Boeing,Wide,B787,B787-9,789,16,"4,768","25,904,544","10,440"
2026-06,LA,JJ,BEL,BSB,Airbus,Narrow,A320,A320,320,17,"2,952","2,940,192","2,715"
2026-06,LA,JJ,BEL,BSB,Airbus,Narrow,A320,A321,321,43,"9,386","9,348,456","6,735"
2026-06,LA,JJ,BEL,FOR,Airbus,Narrow,A320,A320,320,3,524,"369,944",360
2026-06,LA,JJ,BEL,FOR,Airbus,Narrow,A320,A321,321,27,"5,892","4,159,752","3,240"
2026-06,LA,JJ,BEL,GRU,Airbus,Narrow,A320,A320,320,36,"6,194","9,427,268","7,930"
2026-06,LA,JJ,BEL,GRU,Airbus,Narrow,A320,A321,321,118,"25,444","38,725,768","26,095"
2026-06,LA,JJ,BEL,MAO,Airbus,Narrow,A320,A320,320,2,348,"281,184",260
2026-06,LA,JJ,BEL,MAO,Airbus,Narrow,A320,A321,321,7,"1,528","1,234,624",910
