origin,destination,avg_enroute_min
SKSP,SKBQ,85
SKSP,SKBO,129
SKSP,SKCL,120
SKSP,SKCG,83
SKSP,SKRG,106
SKAR,SKBO,65
SKBQ,SKSP,85
SKBQ,SKBO,95
SKBQ,SKRG,78
SKBG,SKBO,65
SKBO,SKSP,132
SKBO,SKAR,62
SKBO,SKBQ,92
SKBO,SKBG,62
SKBO,SVMI,119
SKBO,SKCL,65
SKBO,SKCG,91
SKBO,SKCC,76
SKBO,TNCC,135
SKBO,SKYP,64
SKBO,SBGR,374
SKBO,SKIB,59
SKBO,SKLT,124
SKBO,SPIM,183
SKBO,KMCO,247
SKBO,SKRG,60
SKBO,KMIA,235
SKBO,SKMR,80
SKBO,SKNV,64
SKBO,SKPE,60
SKBO,SKPS,84
SKBO,SKRH,97
SKBO,SKSM,92
SVMI,SKBO,121
SKCL,SKSP,115
SKCL,SKBO,66
SKCL,SKCG,89
SKCL,SKRG,53
SKCG,SKSP,85
SKCG,SKBO,94
SKCG,SKCL,95
SKCC,SKBO,77
TNCC,SKBO,140
SKYP,SKBO,66
SBGR,SKBO,368
SKIB,SKBO,50
SKLT,SKBO,126
SPIM,SKBO,193
KMCO,SKBO,249
SKRG,SKSP,108
SKRG,SKBQ,76
SKRG,SKBO,62
SKRG,SKCL,62
SKRG,SKMR,56
SKRG,SKPE,50
KMIA,SKBO,227
SKMR,SKBO,80
SKMR,SKRG,57
SKNV,SKBO,63
SKPE,SKBO,58
SKPE,SKRG,39
SKPS,SKBO,85
SKRH,SKBO,108
SKSM,SKBO,92
SKBO,SCEL,360
MMMX,SCEL,520
SCEL,SKBO,388
SCEL,MMMX,546
SABE,SBGR,154
SABE,SBPA,95
SBAR,SBBR,125
SBAR,SBBR,130
SBAR,SBBR,131
SBAR,SBGR,167
SBAR,SBGR,168
SBAR,SBGR,168
EHAM,SBGR,735
LEBL,SBGR,669
SBBE,SBBR,156
SBBE,SBBR,159
SBBE,SBFZ,115
SBBE,SBFZ,116
SBBE,SBGR,226
SBBE,SBGR,226
SBBE,SBEG,130
SBBE,SBEG,130
SBBE,SBMQ,55
KBOS,SBGR,600
SBPS,SBBR,105
SBPS,SBBR,105
SBPS,SBBR,106
SBPS,SBSP,131
SBPS,SBSP,131
SBPS,SBGL,100
SBPS,SBGL,100
SBPS,SBGR,120
SBPS,SBGR,126
SBPS,SBGR,126
SBBR,SBAR,130
SBBR,SBAR,130
SBBR,SBAR,129
SBBR,SBBE,154
SBBR,SBBE,151
SBBR,SBPS,105
SBBR,SBPS,105
SBBR,SBPS,104
SBBR,SBBV,212
SBBR,SBBV,211
SBBR,SBCY,102
SBBR,SBCY,103
SBBR,SBCY,105
SBBR,SBSP,109
SBBR,SBSP,109
SBBR,SBCG,97
SBBR,SBCG,99
SBBR,SBCF,80
SBBR,SBCF,76
SBBR,SBCF,75
SBBR,SBCT,117
SBBR,SBCT,117
SBBR,SBFL,135
SBBR,SBFL,135
SBBR,SBFL,135
SBBR,SBFZ,156
SBBR,SBFZ,158
SBBR,SBFZ,158
SBBR,SBGL,106
SBBR,SBGL,107
SBBR,SBGR,113
SBBR,SBGR,108
SBBR,SBGR,107
SBBR,SBGO,45
SBBR,SBGO,45
SBBR,SBGO,45
SBBR,SBFI,130
SBBR,SBFI,131
SBBR,SBIZ,115
SBBR,SBJP,160
SBBR,SBJP,162
SBBR,SBJP,160
SBBR,SBMA,115
SBBR,SBMA,115
SBBR,SBEG,173
SBBR,SBEG,175
SBBR,SBMQ,160
SBBR,SBMQ,161
SBBR,SBMO,138
SBBR,SBMO,140
SBBR,SBSG,161
SBBR,SBSG,163
SBBR,SBSI,100
SBBR,SBSI,101
SBBR,SBPJ,80
SBBR,SBPJ,78
SBBR,SBPA,157
SBBR,SBPA,157
SBBR,SBPV,177
SBBR,SBPV,175
SBBR,SBRB,202
SBBR,SBRB,200
SBBR,SBRF,155
SBBR,SBRF,155
SBBR,SBRF,152
SBBR,SCEL,280
SBBR,SCEL,285
SBBR,SBRJ,102
SBBR,SBSL,145
SBBR,SBSL,145
SBBR,SBSL,145
SBBR,SBSV,113
SBBR,SBSV,116
SBBR,SBSV,117
SBBR,SBSN,155
SBBR,SBSN,155
SBBR,SBTE,135
SBBR,SBTE,134
SBBR,SBTE,135
SBBR,SBKP,90
SBBR,SBKP,91
SBBR,SBKP,91
SBBR,SBVT,105
SBBR,SBVT,103
SBBR,SBVT,104
SBBV,SBBR,219
SBBV,SBBR,220
SBBV,SBGR,278
SBBV,SBGR,275
SBDB,SBGR,110
SBDB,SBGR,110
SBCA,SBGR,99
SBCA,SBGR,98
LFPG,SBGR,715
SBCY,SBBR,101
SBCY,SBBR,102
SBCY,SBBR,100
SBCY,SBSP,134
SBCY,SBSP,141
SBCY,SBGR,142
SBCY,SBGR,141
SBCY,SBGR,141
SBSP,SBPS,115
SBSP,SBPS,115
SBSP,SBBR,105
SBSP,SBBR,105
SBSP,SBCY,135
SBSP,SBCY,141
SBSP,SBCG,105
SBSP,SBCF,78
SBSP,SBCF,77
SBSP,SBCT,62
SBSP,SBCT,61
SBSP,SBFL,70
SBSP,SBFL,70
SBSP,SBFZ,204
SBSP,SBFZ,205
SBSP,SBGO,104
SBSP,SBGO,100
SBSP,SBFI,106
SBSP,SBFI,105
SBSP,SBIL,129
SBSP,SBJV,65
SBSP,SBJV,65
SBSP,SBJP,190
SBSP,SBJP,191
SBSP,SBLO,80
SBSP,SBLO,80
SBSP,SBMO,175
SBSP,SBMO,175
SBSP,SBMG,85
SBSP,SBMG,84
SBSP,SBSG,207
SBSP,SBSG,209
SBSP,SBNF,69
