report_source,Mkt Al,Op Al,Orig,Dest,Manu,Type,Aircraft Family,Aircraft Type,Equip,Flights,Seats,ASMs,Block Mins
2026-06,Y4,Y4,ACA,GDL,Airbus,Narrow,A320,A320,320,3,537,186876,234
2026-06,Y4,Y4,ACA,GDL,Airbus,Narrow,A320,A320neo,32N,23,4278,1488744,1794
2026-06,Y4,Y4,ACA,MEX,Airbus,Narrow,A320,A320,320,15,2685,510150,1020
2026-06,Y4,Y4,ACA,MEX,Airbus,Narrow,A320,A320neo,32N,15,2790,530100,1020
2026-06,Y4,Y4,ACA,QRO,Airbus,Narrow,A320,A320neo,32N,13,2418,645606,845
2026-06,Y4,Y4,ACA,TIJ,Airbus,Narrow,A320,A320,320,15,2685,4105365,3165
2026-06,Y4,Y4,ACA,TIJ,Airbus,Narrow,A320,A320neo,32N,15,2790,4265910,3165
2026-06,Y4,Y4,AGU,CUN,Airbus,Narrow,A320,A320neo,32N,12,2232,2223072,1836
2026-06,Y4,Y4,AGU,LAX,Airbus,Narrow,A320,A320,320,17,3043,3934599,3315
2026-06,Y4,Y4,AGU,MDW,Airbus,Narrow,A320,A320neo,32N,18,3348,5433804,4140
2026-06,Y4,Y4,AGU,PBC,Airbus,Narrow,A320,A320neo,32N,13,2418,751998,897
2026-06,Y4,Y4,AGU,PVR,Airbus,Narrow,A320,A320neo,32N,13,2418,488436,728
2026-06,Y4,Y4,AGU,TIJ,Airbus,Narrow,A320,A320neo,32N,30,5580,6523020,4950
2026-06,Y4,Y4,AGU,TIJ,Airbus,Narrow,A320,A321neo,32Q,22,5258,6146602,3630
2026-06,Y4,Y4,BJX,CUN,Airbus,Narrow,A320,A320,320,21,3759,3548496,3171
2026-06,Y4,Y4,BJX,CUN,Airbus,Narrow,A320,A320neo,32N,6,1116,1053504,906
2026-06,Y4,Y4,BJX,CUN,Airbus,Narrow,A320,A321neo,32Q,26,6214,5866016,3926
2026-06,Y4,Y4,BJX,FAT,Airbus,Narrow,A320,A320,320,5,895,1382775,1105
2026-06,Y4,Y4,BJX,FAT,Airbus,Narrow,A320,A320neo,32N,4,744,1149480,884
2026-06,Y4,Y4,BJX,FAT,Airbus,Narrow,A320,A321neo,32Q,4,956,1477020,884
2026-06,Y4,Y4,BJX,LAX,Airbus,Narrow,A320,A320,320,16,2864,3912224,3392
2026-06,Y4,Y4,BJX,MDW,Airbus,Narrow,A320,A320,320,13,2327,3818607,3055
2026-06,Y4,Y4,BJX,MTY,Airbus,Narrow,A320,A320,320,28,5012,1709092,2380
2026-06,Y4,Y4,BJX,MTY,Airbus,Narrow,A320,A320neo,32N,19,3534,1205094,1615
2026-06,Y4,Y4,BJX,MXL,Airbus,Narrow,A320,A321neo,32Q,9,2151,2508066,1539
2026-06,Y4,Y4,BJX,OAK,Airbus,Narrow,A320,A320neo,32N,13,2418,4093674,3120
2026-06,Y4,Y4,BJX,ONT,Airbus,Narrow,A320,A320neo,32N,9,1674,2233116,1773
2026-06,Y4,Y4,BJX,ORD,Airbus,Narrow,A320,A320,320,13,2327,3834896,3107
2026-06,Y4,Y4,BJX,ORD,Airbus,Narrow,A320,A321neo,32Q,4,956,1575488,956
2026-06,Y4,Y4,BJX,PBC,Airbus,Narrow,A320,A320neo,32N,13,2418,577902,819
2026-06,Y4,Y4,BJX,PVR,Airbus,Narrow,A320,A320neo,32N,8,1488,364560,536
2026-06,Y4,Y4,BJX,PVR,Airbus,Narrow,A320,A321neo,32Q,35,8365,2049425,2345
2026-06,Y4,Y4,BJX,SJC,Airbus,Narrow,A320,A320,320,4,716,1192140,944
2026-06,Y4,Y4,BJX,SJC,Airbus,Narrow,A320,A321neo,32Q,4,956,1591740,944
2026-06,Y4,Y4,BJX,SJD,Airbus,Narrow,A320,A320,320,4,716,393084,412
2026-06,Y4,Y4,BJX,SJD,Airbus,Narrow,A320,A320neo,32N,9,1674,919026,927
2026-06,Y4,Y4,BJX,SMF,Airbus,Narrow,A320,A320,320,4,716,1222928,988
2026-06,Y4,Y4,BJX,SMF,Airbus,Narrow,A320,A320neo,32N,1,186,317688,247
2026-06,Y4,Y4,BJX,TIJ,Airbus,Narrow,A320,A320,320,16,2864,3557088,2864
2026-06,Y4,Y4,BJX,TIJ,Airbus,Narrow,A320,A320neo,32N,52,9672,12012624,9308
2026-06,Y4,Y4,BJX,TIJ,Airbus,Narrow,A320,A321neo,32Q,9,2151,2671542,1611
2026-06,Y4,Y4,BOG,GDL,Airbus,Narrow,A320,A320neo,32N,9,1674,3753108,2835
2026-06,Y4,Y4,BOG,NLU,Airbus,Narrow,A320,A320neo,32N,17,3162,6213330,4981
2026-06,Y4,Y4,CEN,GDL,Airbus,Narrow,A320,A320neo,32N,43,7998,5014746,4644
2026-06,Y4,Y4,CEN,TIJ,Airbus,Narrow,A320,A320,320,30,5370,2980350,2850
2026-06,Y4,Y4,CJS,GDL,Airbus,Narrow,A320,A320neo,32N,60,11160,8805240,7620
2026-06,Y4,Y4,CJS,MEX,Airbus,Narrow,A320,A321,321,30,6900,6603300,4470
2026-06,Y4,Y4,CJS,TIJ,Airbus,Narrow,A320,A321neo,32Q,43,10277,6382017,4859
2026-06,Y4,Y4,CLQ,TIJ,Airbus,Narrow,A320,A320,320,30,5370,6615840,5220
2026-06,Y4,Y4,CLQ,TIJ,Airbus,Narrow,A320,A320neo,32N,20,3720,4583040,3480
2026-06,Y4,Y4,CLT,GDL,Airbus,Narrow,A320,A321neo,32Q,9,2151,3645945,2250
2026-06,Y4,Y4,CTM,MEX,Airbus,Narrow,A320,A321,321,30,6900,4871400,3780
2026-06,Y4,Y4,CUL,GDL,Airbus,Narrow,A320,A320neo,32N,82,15252,6024540,6806
2026-06,Y4,Y4,CUL,GDL,Airbus,Narrow,A320,A321,321,25,5750,2271250,2075
2026-06,Y4,Y4,CUL,MEX,Airbus,Narrow,A320,A320,320,30,5370,3495870,3450
2026-06,Y4,Y4,CUL,MTY,Airbus,Narrow,A320,A320,320,28,5012,2335592,2492
2026-06,Y4,Y4,CUL,MXL,Airbus,Narrow,A320,A320,320,30,5370,3855660,3390
2026-06,Y4,Y4,CUL,PHX,Airbus,Narrow,A320,A320neo,32N,5,930,611010,565
2026-06,Y4,Y4,CUL,PHX,Airbus,Narrow,A320,A321,321,3,690,453330,339
2026-06,Y4,Y4,CUL,SJD,Airbus,Narrow,A320,A320,320,30,5370,966600,1590
2026-06,Y4,Y4,CUL,TIJ,Airbus,Narrow,A320,A320,320,30,5370,4220820,3660
2026-06,Y4,Y4,CUL,TIJ,Airbus,Narrow,A320,A321neo,32Q,60,14340,11271240,7320
2026-06,Y4,Y4,CUN,AGU,Airbus,Narrow,A320,A320neo,32N,12,2232,2223072,1764
2026-06,Y4,Y4,CUN,BJX,Airbus,Narrow,A320,A320,320,21,3759,3548496,3108
2026-06,Y4,Y4,CUN,BJX,Airbus,Narrow,A320,A320neo,32N,6,1116,1053504,888
2026-06,Y4,Y4,CUN,BJX,Airbus,Narrow,A320,A321neo,32Q,26,6214,5866016,3848
2026-06,Y4,Y4,CUN,GDL,Airbus,Narrow,A320,A320neo,32N,60,11160,11874240,9840
2026-06,Y4,Y4,CUN,GDL,Airbus,Narrow,A320,A321neo,32Q,60,14340,15257760,9840
2026-06,Y4,Y4,CUN,GUA,Airbus,Narrow,A320,A320,320,30,5370,2711850,2790
2026-06,Y4,Y4,CUN,MEX,Airbus,Narrow,A320,A320neo,32N,17,3162,2529600,2380
2026-06,Y4,Y4,CUN,MEX,Airbus,Narrow,A320,A321,321,58,13270,10616000,8120
2026-06,Y4,Y4,CUN,MEX,Airbus,Narrow,A320,A321neo,32Q,45,10755,8604000,6300
2026-06,Y4,Y4,CUN,MLM,Airbus,Narrow,A320,A320,320,13,2327,2145494,1872
2026-06,Y4,Y4,CUN,MTY,Airbus,Narrow,A320,A320,320,78,13962,12593724,11700
2026-06,Y4,Y4,CUN,MTY,Airbus,Narrow,A320,A320neo,32N,13,2418,2181036,1950
