airport,latitude,longitude,elevation_ft
KCLT,35.2140007019043,-80.94309997558594,748
KDEN,39.860027,-104.673792,5431
KDFW,32.896801,-97.038002,607
KDTW,42.21377,-83.353786,645
KEWR,40.6894,-74.170545,18
KFAT,36.775767,-119.718018,336
KIAH,29.9844,-95.3414,97
KLAS,36.083361,-115.151817,2181
KLAX,33.942501,-118.407997,125
KMCO,28.429399490356445,-81.30899810791016,96
KMDW,41.785999,-87.752403,620
KMIA,25.796011,-80.289751,8
KOAK,37.720085,-122.221184,9
KONT,34.056,-117.600998,944
KORD,41.9786,-87.9048,680
KPDX,45.588699,-122.598,31
KPHX,33.435302,-112.005905,1135
KRNO,39.4991,-119.767998,4415
KSAT,29.533701,-98.469803,809
KSEA,47.447943,-122.310276,433
KSJC,37.362452,-121.929188,62
KSLC,40.78886,-111.979866,4227
KSMF,38.6954,-121.591003,27
MGGT,14.582896,-90.527515,4952
MMAA,16.757126,-99.753113,16
MMAS,21.699589,-102.318372,6112
MMBT,15.775437,-96.260456,464
MMCL,24.76504,-107.475228,108
MMCM,18.504985,-88.328018,39
MMCN,27.39259910583496,-109.83300018310547,243
MMCS,31.636673,-106.428533,3904
MMCU,28.702649,-105.963764,4462
MMCZ,20.514922,-86.928538,15
MMDO,24.125468,-104.527938,6104
MMEP,21.419833,-104.842472,3020
MMGL,20.523342,-103.310108,5016
MMHO,29.092811,-111.053015,627
MMIA,19.277,-103.577002,2467
MMLM,25.685503,-109.081159,16
MMLO,20.992695,-101.480284,5956
MMLP,24.072331,-110.362662,69
MMLT,25.989549,-111.348408,34
MMMD,20.930485,-89.645462,38
MMML,32.630629,-115.242805,74
MMMM,19.849899,-101.025002,6033
MMMX,19.435822,-99.07033,7316
MMMY,25.778521,-100.106989,1278
MMMZ,23.162823,-106.264517,38
MMOX,16.998773,-96.726092,4989
MMPB,19.158465,-98.371582,7361
MMPN,19.3967,-102.039001,5258
MMPR,20.679913,-105.254391,23
MMPS,15.876808,-97.0891,294
MMQT,20.618779,-100.186449,6296
MMRX,26.0089,-98.2285,139
MMSD,23.151919,-109.720731,374
MMSM,19.743824,-99.01507,7369
MMSP,22.262026,-100.935692,6035
MMTC,25.562265,-103.404608,3688
MMTG,16.561611,-93.025731,1499
MMTJ,32.541043,-116.969976,489
MMTL,20.172098,-87.660272,66
MMTO,19.3369,-99.56583,8466
MMTP,14.794549,-92.369871,97
MMUN,21.040817,-86.87347,22
MMVA,17.994283,-92.818199,46
MMVR,19.139589,-96.188602,90
MMZC,22.894942,-102.687154,7141
MMZH,17.601771,-101.460629,26
MROC,9.99386,-84.208801,3021
SKBO,4.70159,-74.1469,8361
SPIM,-12.0219,-77.114305,113
