origin,destination,avg_enroute_min
KCLT,MMGL,250.0
KDEN,MMCU,134.0
KDEN,MMGL,207.0
KDEN,MMMX,217.0
KDEN,MMQT,200.0
KDFW,MMGL,150.0
KDFW,MMMM,145.0
KDFW,MMMX,165.0
KDFW,MMQT,139.0
KDFW,MMSP,130.0
KDTW,MMGL,304.0
KEWR,MMGL,305.0
KEWR,MMPB,300.0
KFAT,MMGL,210.0
KFAT,MMLO,207.0
KFAT,MMMM,217.0
KIAH,MMGL,140.0
KIAH,MMMM,128.0
KIAH,MMMX,140.0
KIAH,MMPB,119.0
KIAH,MMQT,120.0
KIAH,MMSP,109.0
KLAS,MMGL,198.0
KLAS,MMMX,225.0
KLAX,MMAS,186.0
KLAX,MMEP,182.0
KLAX,MMGL,190.0
KLAX,MMLO,198.0
KLAX,MMMM,205.0
KLAX,MMMX,223.0
KLAX,MMOX,242.0
KLAX,MMPB,234.0
KLAX,MMPN,205.0
KLAX,MMQT,207.0
KLAX,MMZC,181.0
KMCO,MMGL,223.0
KMCO,MMMX,210.0
KMCO,MMQT,197.0
KMDW,MMAS,233.0
KMDW,MMDO,220.0
KMDW,MMGL,247.0
KMDW,MMLO,235.0
KMDW,MMMM,239.0
KMDW,MMSP,225.0
KMDW,MMZC,225.0
KMIA,MMGL,234.0
KMIA,MMMX,213.0
KOAK,MMGL,232.0
KOAK,MMLO,226.0
KOAK,MMMM,245.0
KOAK,MMMX,250.0
KONT,MMGL,183.0
KONT,MMLO,190.0
KONT,MMMM,195.0
KORD,MMGL,244.0
KORD,MMLO,231.0
KORD,MMMM,233.0
KORD,MMMX,250.0
KORD,MMQT,234.0
KPDX,MMGL,278.0
KPHX,MMCL,112.0
KPHX,MMGL,165.0
KRNO,MMGL,226.0
KSAT,MMGL,115.0
KSAT,MMMX,124.0
KSAT,MMQT,106.0
KSAT,MMSP,90.0
KSEA,MMGL,300.0
KSJC,MMGL,223.0
KSJC,MMLO,217.0
KSJC,MMMM,233.0
KSJC,MMZC,213.0
KSLC,MMGL,235.0
KSMF,MMGL,231.0
KSMF,MMLO,227.0
KSMF,MMMM,236.0
MGGT,MMMX,123.0
MGGT,MMUN,109.0
MMAA,MMGL,78.0
MMAA,MMMX,68.0
MMAA,MMQT,65.0
MMAA,MMTJ,211.0
MMAS,KLAX,195.0
MMAS,KMDW,230.0
MMAS,MMPB,69.0
MMAS,MMPR,56.0
MMAS,MMTJ,165.0
MMAS,MMUN,153.0
MMBT,MMMX,85.0
MMBT,MMPB,64.0
MMCL,KPHX,113.0
MMCL,MMGL,83.0
MMCL,MMML,113.0
MMCL,MMMX,115.0
MMCL,MMMY,89.0
MMCL,MMSD,53.0
MMCL,MMTJ,122.0
MMCM,MMMX,126.0
MMCN,MMGL,108.0
MMCN,MMTJ,95.0
MMCS,MMGL,127.0
MMCS,MMMX,149.0
MMCS,MMTJ,113.0
MMCU,KDEN,132.0
MMCU,MMGL,105.0
MMCU,MMMX,130.0
MMCU,MMTJ,115.0
MMCZ,MMMX,138.0
MMDO,KMDW,215.0
MMDO,MMGL,72.0
MMDO,MMQT,74.0
MMDO,MMTJ,143.0
MMEP,KLAX,178.0
MMEP,MMTJ,156.0
MMGL,KCLT,252.0
MMGL,KDEN,210.0
MMGL,KDFW,156.0
MMGL,KDTW,262.0
MMGL,KEWR,295.0
MMGL,KFAT,216.0
MMGL,KIAH,142.0
MMGL,KLAS,195.0
MMGL,KLAX,196.0
MMGL,KMCO,222.0
MMGL,KMDW,243.0
MMGL,KMIA,220.0
MMGL,KOAK,235.0
MMGL,KONT,186.0
MMGL,KORD,246.0
MMGL,KPDX,294.0
MMGL,KPHX,167.0
MMGL,KRNO,236.0
MMGL,KSAT,117.0
MMGL,KSEA,305.0
MMGL,KSJC,227.0
MMGL,KSLC,224.0
MMGL,KSMF,239.0
MMGL,MMAA,79.0
MMGL,MMCL,84.0
MMGL,MMCN,116.0
MMGL,MMCS,132.0
MMGL,MMCU,108.0
MMGL,MMDO,61.0
MMGL,MMHO,126.0
MMGL,MMLM,92.0
MMGL,MMLP,98.0
MMGL,MMMD,141.0
MMGL,MMML,165.0
MMGL,MMMX,83.0
MMGL,MMMY,91.0
MMGL,MMMZ,61.0
MMGL,MMOX,94.0
MMGL,MMPB,76.0
MMGL,MMPR,52.0
MMGL,MMPS,98.0
MMGL,MMQT,57.0
MMGL,MMRX,90.0
MMGL,MMSD,91.0
MMGL,MMSM,75.0
MMGL,MMSP,53.0
MMGL,MMTC,79.0
MMGL,MMTG,126.0
MMGL,MMTJ,173.0
MMGL,MMTL,154.0
MMGL,MMTO,66.0
MMGL,MMTP,130.0
MMGL,MMUN,164.0
MMGL,MMVA,121.0
MMGL,MMVR,91.0
MMGL,MMZC,50.0
MMGL,MMZH,56.0
MMGL,SKBO,307.0
MMHO,MMGL,124.0
MMHO,MMML,73.0
MMHO,MMMX,154.0
MMHO,MMTJ,83.0
MMIA,MMTJ,174.0
MMLM,MMGL,94.0
MMLM,MMML,101.0
MMLM,MMMX,127.0
MMLM,MMTJ,107.0
MMLO,KFAT,221.0
MMLO,KLAX,212.0
MMLO,KMDW,235.0
MMLO,KOAK,240.0
MMLO,KONT,197.0
MMLO,KORD,239.0
MMLO,KSJC,236.0
MMLO,KSMF,247.0
MMLO,MMML,171.0
MMLO,MMMY,85.0
MMLO,MMPB,63.0
MMLO,MMPR,67.0
MMLO,MMSD,103.0
MMLO,MMTJ,179.0
MMLO,MMUN,151.0
MMLP,MMGL,97.0
MMLP,MMMX,130.6
MMLP,MMSM,127.0
MMLP,MMTJ,112.0
MMLT,MMTJ,98.0
MMMD,MMGL,141.0
MMMD,MMMX,117.0
MMMD,MMMY,126.0
MMMD,MMOX,95.0
MMMD,MMSM,110.0
MMMD,MMTJ,243.0
MMML,MMCL,110.0
MMML,MMGL,162.0
MMML,MMHO,71.0
MMML,MMLM,99.0
MMML,MMLO,165.0
MMML,MMMM,175.0
MMML,MMMX,188.0
MMML,MMMY,150.0
MMML,MMPR,153.0
MMML,MMSD,119.0
MMMM,KDFW,153.0
MMMM,KFAT,227.0
MMMM,KIAH,135.0
MMMM,KLAX,212.0
MMMM,KMDW,241.0
MMMM,KOAK,249.0
MMMM,KONT,205.0
MMMM,KORD,241.0
MMMM,KSJC,242.0
MMMM,KSMF,249.0
MMMM,MMML,181.0
MMMM,MMMY,94.0
MMMM,MMPR,69.0
MMMM,MMTJ,187.0
MMMM,MMUN,149.0
MMMM,MMZH,50.0
MMMX,KDEN,219.0
MMMX,KDFW,166.0
MMMX,KIAH,135.0
MMMX,KLAS,233.0
MMMX,KLAX,237.0
MMMX,KMCO,199.0
MMMX,KMIA,191.0
MMMX,KOAK,274.0
MMMX,KORD,242.0
MMMX,KSAT,125.0
MMMX,MGGT,116.0
MMMX,MMAA,63.0
MMMX,MMBT,80.0
MMMX,MMCL,118.0
MMMX,MMCM,117.0
MMMX,MMCS,153.0
MMMX,MMCU,130.0
MMMX,MMCZ,127.0
MMMX,MMGL,78.0
MMMX,MMHO,165.0
MMMX,MMLM,137.0
MMMX,MMLP,133.0
MMMX,MMMD,110.0
MMMX,MMML,200.0
MMMX,MMMY,95.0
MMMX,MMMZ,100.0
MMMX,MMOX,68.0
MMMX,MMPR,90.0
MMMX,MMPS,76.0
MMMX,MMSD,129.0
MMMX,MMTG,93.0
MMMX,MMTJ,213.0
MMMX,MMTP,105.0
MMMX,MMUN,136.8
MMMX,MMVA,86.0
MMMX,MMZH,62.0
MMMX,SPIM,361.0
MMMY,MMCL,92.0
MMMY,MMGL,90.0
MMMY,MMLO,74.0
MMMY,MMMD,119.0
MMMY,MMML,163.0
MMMY,MMMM,82.0
MMMY,MMMX,93.0
MMMY,MMOX,113.0
MMMY,MMPR,95.0
MMMY,MMQT,77.0
MMMY,MMSP,59.0
MMMY,MMTJ,164.0
MMMY,MMTO,86.0
MMMY,MMUN,144.0
MMMZ,MMGL,76.0
MMMZ,MMMX,102.0
MMMZ,MMQT,79.0
MMMZ,MMTJ,137.0
MMOX,KLAX,248.0
MMOX,MMGL,94.0
MMOX,MMMD,95.0
MMOX,MMMX,71.0
MMOX,MMMY,117.0
MMOX,MMQT,67.0
MMOX,MMTJ,228.0
MMOX,MMUN,130.0
MMPB,KEWR,280.0
MMPB,KIAH,134.0
MMPB,KLAX,242.0
MMPB,MMAS,73.0
MMPB,MMBT,64.0
MMPB,MMGL,78.0
MMPB,MMLO,64.0
MMPB,MMPR,95.0
MMPB,MMSD,125.0
MMPB,MMSP,68.0
MMPB,MMTG,79.0
MMPB,MMTJ,208.0
MMPB,MMUN,131.0
MMPB,MMVA,75.0
MMPB,MMZH,62.0
MMPN,KLAX,210.0
MMPN,MMTJ,183.0
MMPR,MMAS,57.0
MMPR,MMGL,55.0
MMPR,MMLO,64.0
MMPR,MMML,154.0
MMPR,MMMM,69.0
MMPR,MMMX,94.0
MMPR,MMMY,97.0
MMPR,MMPB,92.0
MMPR,MMQT,75.0
MMPR,MMSP,64.0
MMPR,MMTJ,159.0
MMPR,MMTO,82.0
MMPS,MMGL,98.0
MMPS,MMMX,81.0
MMPS,MMTJ,226.0
MMQT,KDEN,205.0
MMQT,KDFW,144.0
MMQT,KIAH,122.0
MMQT,KLAX,212.0
MMQT,KMCO,202.0
MMQT,KORD,231.0
MMQT,KSAT,107.0
MMQT,MMAA,67.0
MMQT,MMDO,72.0
MMQT,MMGL,69.0
MMQT,MMMY,86.0
MMQT,MMMZ,81.0
MMQT,MMOX,67.0
MMQT,MMPR,77.0
MMQT,MMTJ,190.0
MMQT,MMUN,141.0
MMQT,MMVR,68.0
MMQT,MMZH,59.0
MMRX,MMGL,106.0
MMSD,MMCL,55.0
MMSD,MMGL,90.0
MMSD,MMLO,96.0
MMSD,MMML,119.0
MMSD,MMMX,128.0
MMSD,MMPB,129.0
MMSD,MMSM,120.0
MMSD,MMTJ,123.0
MMSD,MMTO,113.0
MMSM,MMGL,74.0
MMSM,MMLP,133.0
MMSM,MMMD,107.0
MMSM,MMSD,126.0
MMSM,MMTJ,200.0
MMSM,MMUN,135.0
MMSM,SKBO,277.0
MMSP,KDFW,138.0
MMSP,KIAH,115.0
MMSP,KMDW,216.0
MMSP,KSAT,99.0
MMSP,MMGL,65.0
MMSP,MMMY,68.0
MMSP,MMPB,64.0
MMSP,MMPR,80.0
MMSP,MMTJ,172.0
MMSP,MMUN,138.0
MMTC,MMGL,78.0
MMTC,MMTJ,148.0
MMTG,MMGL,122.0
MMTG,MMMX,94.0
MMTG,MMPB,81.0
MMTG,MMTJ,253.0
MMTG,MMUN,102.0
MMTJ,MMAA,214.0
MMTJ,MMAS,166.0
MMTJ,MMCL,122.0
MMTJ,MMCN,96.0
MMTJ,MMCS,107.0
MMTJ,MMCU,114.0
MMTJ,MMDO,141.0
MMTJ,MMEP,160.0
MMTJ,MMGL,173.0
MMTJ,MMHO,83.0
MMTJ,MMIA,179.0
MMTJ,MMLM,110.0
MMTJ,MMLO,172.0
MMTJ,MMLP,116.0
MMTJ,MMLT,101.0
MMTJ,MMMD,258.0
MMTJ,MMMM,186.0
MMTJ,MMMX,203.0
MMTJ,MMMY,164.0
MMTJ,MMMZ,140.0
MMTJ,MMOX,228.0
MMTJ,MMPB,210.0
MMTJ,MMPN,187.0
MMTJ,MMPR,163.0
MMTJ,MMPS,236.0
MMTJ,MMQT,186.0
MMTJ,MMSD,127.0
MMTJ,MMSM,200.0
MMTJ,MMSP,170.0
MMTJ,MMTC,139.0
MMTJ,MMTG,252.0
MMTJ,MMTO,192.0
MMTJ,MMTP,260.0
MMTJ,MMUN,263.0
MMTJ,MMVR,216.0
MMTJ,MMZC,158.0
MMTJ,MMZH,196.0
MMTL,MMGL,162.0
MMTO,MMGL,69.0
MMTO,MMMY,98.0
MMTO,MMPR,82.0
MMTO,MMSD,120.0
MMTO,MMTJ,199.0
MMTO,MMUN,143.0
MMTP,MMGL,131.0
MMTP,MMMX,104.0
MMTP,MMTJ,258.0
MMUN,MGGT,93.0
MMUN,MMAS,147.0
MMUN,MMGL,164.0
MMUN,MMLO,148.0
MMUN,MMMM,144.0
MMUN,MMMX,140.0
MMUN,MMMY,150.0
MMUN,MMOX,118.0
MMUN,MMPB,127.0
MMUN,MMQT,144.0
MMUN,MMSM,134.0
MMUN,MMSP,143.0
MMUN,MMTG,97.0
MMUN,MMTJ,271.0
MMUN,MMTO,137.0
MMUN,MROC,131.0
MMVA,MMGL,121.0
MMVA,MMMX,93.0
MMVA,MMPB,79.0
MMVR,MMGL,93.0
MMVR,MMQT,63.0
MMVR,MMTJ,218.0
MMZC,KLAX,186.0
MMZC,KMDW,225.0
MMZC,KSJC,215.0
MMZC,MMGL,68.0
MMZC,MMTJ,161.0
MMZH,MMGL,57.0
MMZH,MMMM,50.0
MMZH,MMMX,67.0
MMZH,MMPB,60.0
MMZH,MMQT,60.0
MMZH,MMTJ,196.0
MROC,MMUN,137.0
SKBO,MMGL,315.0
SKBO,MMSM,293.0
SPIM,MMMX,366.0
