origin,destination,avg_enroute_min
MROC,KMCO,170.5
KMCO,MROC,164.6
MROC,KMIA,143.5
KMIA,MROC,142.3
MROC,MSLP,1152.2
MSLP,MROC,57.6
MROC,MMMX,147.4
MMMX,MROC,149.5
MSLP,MROC,57
MROC,MMMX,149.5
MMMX,MROC,148.8
MROC,MMGL,196.2
MMGL,MROC,185.4
MSLP,MROC,57
MGGT,KLAX,277.8
MROC,MGGT,69.2
KLAX,MGGT,264.2
MGGT,MROC,73
MGGT,MMMX,94.9
MROC,MGGT,69.7
MSLP,MGGT,24
MGGT,MROC,73.5
MMMX,MGGT,86.1
MROC,MMUN,110.2
MMUN,MROC,104.3
MMGL,MMTJ,146
MMTJ,MMGL,156.6
MMGL,MMTJ,1415.8
MMTJ,MMGL,158
MMGL,MMTJ,148.1
MMTJ,MMGL,156.1
MMGL,MMTJ,149.2
MMTJ,MMGL,156.7
MMGL,MMTJ,147.6
MMTJ,MMGL,156.6
MMGL,MMTJ,147.9
MMTJ,MMGL,157.1
MMGL,MMTJ,147.1
MMTJ,MMGL,157.3
MMGL,MMTJ,147.8
MMTJ,MMGL,157.7
MMGL,MMTJ,145.8
MMTJ,MMGL,156
MMMX,MMUN,117.6
MMGL,MMTJ,146.4
MMTJ,MMGL,156.5
MMUN,MMMX,106.6
MMVR,MMMX,36
MMMX,MMUN,114.1
MMGL,MMUN,142.7
MMUN,MMGL,142.5
MMGL,MMUN,140.5
MMUN,MMGL,141.8
MMGL,MMUN,141.8
MMUN,MMGL,139.3
MMUN,MMMX,105.8
MMGL,MMUN,141.8
MMUN,MMGL,139.5
MMGL,MMUN,140.6
MMUN,MMGL,204.5
MMGL,MMUN,141.7
MMUN,MMGL,144.4
MMUN,MMGL,1260
MMMX,MMUN,112.6
MMGL,MMMY,67.8
MMMY,MMGL,67.9
MMGL,MMMY,67.7
MMMY,MMGL,67.8
MMGL,MMMY,67.9
MMMY,MMGL,68.1
MMGL,MMMY,67.7
MMMY,MMGL,68.2
MMUN,MMMX,105.8
MMGL,MMML,141.2
MMML,MMGL,151.3
MMGL,MMML,141.4
MMML,MMGL,151.3
MMGL,MMML,143.3
MMML,MMGL,152.9
MMGL,MMCL,58.3
MMCL,MMGL,70.1
MMGL,MMCL,56.2
MMCL,MMGL,873.2
MMGL,MMCL,56.5
MMCL,MMGL,69.7
MMGL,MMSD,63
MMSD,MMGL,80
MMGL,MMSD,64.8
MMSD,MMGL,77.8
MMGL,MMSD,62.8
MMSD,MMGL,78.2
MMGL,MMCS,103.5
MMHO,MMCS,47
MMCS,MMGL,114.6
MMGL,MMCS,103.7
MMCS,MMGL,114.2
MMMX,MMUN,110.6
MMGL,MMHO,103.7
MMHO,MMGL,111.3
MMGL,MMHO,102.8
MMHO,MMGL,112.2
MMUN,MMMX,105.7
MMGL,MMLP,75.1
MMLP,MMGL,1328.6
MMGL,MMTO,46.8
MMTO,MMGL,45
MMGL,MMTO,46.5
MMTO,MMGL,44.3
MMGL,MMCU,82
MMCU,MMGL,90.6
MMGL,MMCU,84.6
MMCU,MMGL,90.2
MMGL,MMMD,118.6
MMMD,MMGL,127.7
MMGL,MMOX,70.1
MMOX,MMGL,74.7
MMGL,MMOX,70.8
MMOX,MMGL,1181
MMGL,MMVR,68.8
MMVR,MMGL,72.2
MMGL,MMCN,83.4
MMCN,MMGL,96.3
MMGL,MMTG,101.7
MMTG,MMGL,112.8
MMGL,MMTC,52.1
MMTC,MMGL,57.2
MMGL,MMTC,1490
MMTC,MMGL,57.5
MMGL,MMTC,1491.4
MMLO,MMGL,36
MMTC,MMGL,62
MMGL,MMSM,47.8
MMSM,MMGL,47.6
MMSM,MMGL,52.9
MMGL,MMPR,23.9
MMPR,MMGL,42.5
MMGL,MMPR,24.4
MMPR,MMGL,42.3
MMGL,MMLM,74
MMLM,MMGL,84.2
MMGL,MMLM,74.1
MMLM,MMGL,84.9
MMGL,MMAA,55.3
MMAA,MMGL,68
MMGL,MMTP,112.7
MMTP,MMGL,112.3
MMGL,MMPS,78.6
MMPS,MMGL,77.4
MMGL,MMBT,84
MMBT,MMGL,84.6
MMGL,MMTL,133.5
MMTL,MMGL,136.1
MMMX,MMGL,45.2
MMPR,MMGL,41
MMGL,MMMX,50.7
MMMX,MMGL,45.9
MMGL,MMMX,50.1
MMMX,MMGL,46.8
MMGL,MMMX,51
MMMX,MMGL,48
MMGL,MMMX,51
MMMX,MMGL,46
MMGL,MMMX,50.9
MMGL,KORD,218
KORD,MMGL,215.9
MMPR,MMGL,41
MMGL,KORD,217.2
KORD,MMGL,221.2
MMGL,KLAX,167
KLAX,MMGL,173.6
MMGL,KLAX,164.9
KLAX,MMGL,174.2
MMGL,KLAX,166.2
KLAX,MMGL,173.2
MMGL,KLAX,168.9
KLAX,MMGL,170
MMPR,MMGL,42
MMGL,KIAH,112.3
KIAH,MMGL,114.2
MMGL,KLAS,168.4
KLAS,MMGL,175.2
MMGL,KLAS,167.5
KLAS,MMGL,173.9
MMGL,KLAS,165
KLAS,MMGL,183
MMGL,KSAT,91
KSAT,MMGL,95.8
MMGL,KDEN,181.2
KDEN,MMGL,182.2
MMGL,KOAK,209
KOAK,MMGL,215.2
MMGL,KOAK,210
KOAK,MMGL,212.3
MMGL,KOAK,211.4
KOAK,MMGL,293.1
MMGL,KMCO,194
KMCO,MMGL,195.1
MMGL,KMIA,192.8
KMIA,MMGL,200.6
MMMX,MMTJ,181.9
MMGL,KDFW,126.8
KDFW,MMGL,123
MMTJ,MMMX,171.9
MMGL,KSMF,213.7
KSMF,MMGL,213.4
MMGL,KSMF,213.5
KSMF,MMGL,211
MMGL,KSMF,216
KSMF,MMGL,208.5
MMMX,MMTJ,181.9
MMGL,KSJC,206.1
KSJC,MMGL,205.7
MMGL,KSJC,206.2
KSJC,MMGL,205.6
MMTJ,MMMX,174
MMGL,KFAT,190.5
KFAT,MMGL,194.5
MMPR,MMGL,39
MMGL,KFAT,190.9
KFAT,MMGL,196.3
MMGL,KFAT,189.8
KFAT,MMGL,194
MMMX,MMTJ,182
MMGL,KMDW,1576.1
KMDW,MMGL,219.5
MMTJ,MMMX,170.3
MMGL,KSEA,271.2
KSEA,MMGL,278.9
MMGL,KONT,160.4
KONT,MMGL,170.7
MMPR,MMGL,43
MMGL,KONT,160.3
KONT,MMGL,172.1
MMTJ,MMMX,178
MMGL,KPDX,267
KPDX,MMGL,267.4
MMMX,MMTJ,181.5
MMGL,KPHX,138.7
KPHX,MMGL,147.9
MMTJ,MMMX,170.5
MMGL,KRNO,206.5
KRNO,MMGL,212.2
MMMX,MMTJ,182.4
MMGL,KEWR,262.1
KEWR,MMGL,292.1
MMTJ,MMMX,172
MMGL,KCLT,211.3
KCLT,MMGL,220.6
MMMX,MMMD,81.5
MMMD,MMMX,90.3
MMMX,MMMD,82.4
MMMD,MMMX,89.8
MMMX,MMMY,70.2
MMMY,MMMX,62.5
MMMX,MMMY,69.7
MMMY,MMMX,62.1
MMMX,MMMY,70.3
MMMY,MMMX,63
MMMX,MMTG,62.8
MMTP,MMTG,27
MMTG,MMMX,65
MMMX,MMTG,63.5
MMTG,MMMX,65.5
MMMX,MMPR,59
MMPR,MMMX,64.2
MMMX,MMPR,59.3
MMPR,MMMX,64.1
MMMX,MMPR,58
MMPR,MMMX,66
MMTJ,MMCL,100
MMCL,MMTJ,104
MMTJ,MMCL,100.7
MMCL,MMTJ,105.2
MMTJ,MMCL,100.4
MMCL,MMTJ,105.9
MMTJ,MMCL,100.8
MMCL,MMTJ,106.1
MMMX,MMSD,97.6
MMSD,MMMX,100.3
MMMX,MMSD,96
MMTJ,MMLO,151.4
MMLO,MMTJ,158.7
MMTJ,MMLO,150.9
MMLO,MMTJ,158.6
MMSP,MMLO,20
MMTJ,MMLO,150.8
MMLO,MMTJ,158.9
MMSD,MMMX,99.5
MMMX,MMSD,96.3
MMQT,MMMM,22
MMTJ,MMMM,1377.2
MMMM,MMTJ,169.6
MMTJ,MMMM,158.6
MMMM,MMTJ,168
MMSD,MMMX,99.3
MMTJ,MMUN,236.6
MMUN,MMTJ,1534.3
MMTJ,MMUN,235.8
MMUN,MMTJ,256.3
MMTJ,MMSD,107.7
MMSD,MMTJ,102.8
MMTJ,MMSD,108.1
MMSD,MMTJ,102.9
MMTJ,MMSD,107.9
MMSD,MMTJ,103.1
MMMZ,MMPR,35
MMTJ,MMPR,137.9
MMPR,MMTJ,141.8
MMTJ,MMPR,137.9
MMPR,MMTJ,140.6
MMTJ,MMPR,138
MMPR,MMTJ,141
MMTJ,MMOX,198.7
MMOX,MMTJ,207.1
MMTJ,MMOX,197.9
MMOX,MMTJ,207.7
MMTJ,MMHO,60.1
MMHO,MMTJ,63
