airport,latitude,longitude,elevation_ft
BIKF,63.985,-22.605556,170
BKPR,42.572778,21.035833,1793
EBCI,50.46,4.452778,606
EDDB,52.362247,13.500672,156
EDDH,53.630389,9.988228,53
EDDK,50.865917,7.142744,302
EDDN,49.4987,11.078008,1044
EDDS,48.689878,9.221964,1276
EDFH,49.945819,7.261078,1649
EDJA,47.988822,10.239483,2079
EDLW,51.518314,7.612242,425
EDNY,47.671317,9.511486,1367
EDSB,48.779353,8.0805,409
EETN,59.413333,24.8325,135
EFTU,60.514722,22.261667,162
EGBB,52.453889,-1.748056,339
EGGP,53.333611,-2.849722,81
EGGW,51.874722,-0.368333,527
EGKK,51.148056,-0.190278,203
EGNM,53.866111,-1.660833,682
EGPD,57.2025,-2.198056,215
EHBK,50.915833,5.776944,375
EHEH,51.45,5.374444,74
EKBI,55.740322,9.151778,247
EKCH,55.617917,12.655972,17
ENAL,62.5625,6.119722,70
ENBR,60.293611,5.218056,171
ENGM,60.202778,11.083889,682
ENHD,59.343333,5.2125,87
ENTC,69.681389,18.917778,32
ENTO,59.186667,10.258611,286
ENVA,63.4575,10.924167,64
ENZV,58.876667,5.637778,30
EPGD,54.3775,18.466111,488
EPKK,50.077778,19.784722,792
EPKT,50.474167,19.08,1008
EPLB,51.240278,22.713611,637
EPMO,52.451111,20.651944,344
EPPO,52.421111,16.826389,309
EPRA,51.388889,21.211667,625
EPSC,53.584722,14.902222,156
EPSY,53.481944,20.937778,465
EPWA,52.165833,20.967222,362
EPWR,51.102778,16.885833,406
ESGG,57.66,12.291111,507
ESKN,58.788611,16.903611,142
ESMS,55.548333,13.353333,237
ESSA,59.651944,17.918611,138
EYPA,55.973056,21.093889,33
EYVI,54.636944,25.287778,649
GCFV,28.452778,-13.863889,83
GCLP,27.931944,-15.386667,77
GCTS,28.044444,-16.5725,209
GMAD,30.3225,-9.411389,253
GMMX,31.608611,-8.040833,1545
HEGN,27.178611,33.800833,109
HESH,27.978611,34.393333,143
HESX,30.108056,30.895833,553
LATI,41.414722,19.720556,125
LBBG,42.570278,27.515278,135
LBPD,42.067778,24.850833,603
LBSF,42.695,23.408333,1745
LBWN,43.231944,27.825278,230
LCLK,34.878889,33.630278,11
LCPH,34.718078,32.485072,43
LDDU,42.561353,18.268244,527
LDSP,43.538944,16.297964,78
LEAL,38.282222,-0.558056,142
LEBB,43.301111,-2.910556,136
LEBL,41.296944,2.078333,14
LEMD,40.472222,-3.560833,1998
LEMG,36.675,-4.499167,52
LEMH,39.8625,4.218611,303
LEPA,39.551667,2.738889,27
LEVC,39.489444,-0.481667,240
LEXJ,43.426944,-3.82,16
LEZL,37.418056,-5.898889,111
LFLL,45.725556,5.081111,821
LFLS,45.363056,5.332778,1302
LFMN,43.665278,7.215,12
LFOB,49.454444,2.112778,359
LFPO,48.723333,2.379444,291
LFSB,47.59,7.529167,885
LGAV,37.9367,23.9445,308
LGSA,35.531389,24.151111,490
LGTS,40.519722,22.970917,22
LGZA,37.751111,20.884167,16
LHBP,47.439444,19.261944,496
LHDC,47.488889,21.615278,361
LIBD,41.138056,16.765,193
LIBR,40.660556,17.948056,46
LICA,38.908333,16.241667,46
LICC,37.466667,15.063889,39
LICJ,38.181944,13.099444,65
LIEA,40.631111,8.288611,87
LIEO,40.898611,9.517778,37
LIMC,45.63,8.723056,768
LIME,45.668889,9.700278,782
LIMF,45.2025,7.649444,989
LIMJ,44.413333,8.8375,13
LIPE,44.530833,11.296944,123
LIPH,45.650833,12.197778,59
LIPR,44.019444,12.609444,41
LIPX,45.396389,10.887778,240
LIPZ,45.505278,12.351944,7
LIRF,41.800278,12.238889,14
LIRN,40.884444,14.290833,294
LIRP,43.682778,10.395556,6
LJLJ,46.224444,14.456111,1274
LKPR,50.100833,14.26,1234
LLBG,32.009444,34.885556,134
LMML,35.857542,14.477439,297
LPFR,37.014444,-7.965833,24
LPMA,32.694167,-16.778056,191
LPPR,41.235556,-8.678056,227
LPPT,38.774167,-9.134167,355
LQBK,44.941397,17.297475,401
LQTZ,44.458653,18.724781,784
LRBS,44.503611,26.103611,299
LRBV,45.706111,25.523333,1764
LROP,44.571111,26.085,314
LRTM,46.467778,24.4125,963
LTAC,40.128056,32.995,3158
LTAI,36.900278,30.792778,177
LTFM,41.275278,28.751944,325
LUKK,46.927778,28.930833,399
LWOH,41.179922,20.742328,2296
LWSK,41.961614,21.621433,781
LYBE,44.819444,20.306944,336
LYNI,43.337222,21.853611,650
LYPG,42.359444,19.251944,122
LZIB,48.17,17.212778,436
LZKZ,48.663056,21.241111,755
LZTT,49.073611,20.241111,2356
OEJN,21.681111,39.156111,50
OJAI,31.724128,35.994622,2396
OMAA,24.433056,54.651111,83
OMDB,25.252778,55.364444,62
UBBB,40.469722,50.051389,11
UDSG,40.750556,43.859444,5000
UDYZ,40.147275,44.395881,2838
UGKO,42.176944,42.482778,160
