origin,destination,avg_enroute_min
BIKF,EPGD,216
BIKF,EPKT,242
BIKF,EPWA,238
BIKF,EYVI,235
BIKF,LHBP,266
BKPR,EDJA,120
BKPR,EDLW,158
BKPR,LZIB,92
EBCI,EPWA,119
EBCI,LBSF,160
EBCI,LBWN,175
EBCI,LHBP,120
EBCI,LWSK,157
EBCI,UGKO,263
EDDB,LBWN,141
EDDB,LHBP,89
EDDB,LQTZ,105
EDDB,LWSK,136
EDDB,LYBE,110
EDDB,LZIB,75
EDDB,UGKO,230
EDDH,EPGD,75
EDDH,LBSF,155
EDDH,LBWN,160
EDDH,LQTZ,125
EDDH,LWSK,155
EDDH,LYBE,129
EDDH,LYPG,145
EDDH,UDYZ,255
EDDH,UGKO,245
EDDK,LQTZ,120
EDDK,LWSK,151
EDDN,LBWN,140
EDDN,LWSK,125
EDDS,EPKK,90
EDDS,EPMO,100
EDDS,LBSF,135
EDDS,LHBP,98
EDDS,LQBK,95
EDDS,LQTZ,105
EDDS,LWOH,130
EDDS,LWSK,126
EDDS,LYNI,125
EDFH,LBWN,162
EDFH,LQTZ,115
EDFH,LWSK,141
EDFH,UGKO,252
EDJA,BKPR,120
EDJA,LBSF,125
EDJA,LBWN,140
EDJA,LHBP,90
EDJA,LQTZ,95
EDJA,LWSK,120
EDJA,LYBE,100
EDJA,LYPG,103
EDJA,UDYZ,250
EDJA,UGKO,232
EDLW,BKPR,150
EDLW,EGGW,80
EDLW,EPGD,93
EDLW,EPKT,95
EDLW,EPSY,100
EDLW,EPWA,105
EDLW,EPWR,80
EDLW,EYVI,125
EDLW,LBSF,150
EDLW,LBWN,165
EDLW,LHBP,106
EDLW,LQTZ,120
EDLW,LRBV,150
EDLW,LWOH,150
EDLW,LWSK,147
EDLW,LYBE,125
EDLW,LYNI,140
EDLW,LYPG,135
EDLW,LZIB,90
EDLW,UDYZ,262
EDLW,UGKO,252
EDNY,LWSK,120
EDNY,LYBE,97
EDSB,EPWR,85
EDSB,LWSK,135
EDSB,LYBE,110
EDSB,LZIB,96
EETN,EPGD,85
EETN,EPKK,120
EETN,EPWA,100
EETN,EYVI,77
EETN,LHBP,141
EFTU,EPGD,90
EFTU,EYVI,85
EGBB,LHBP,155
EGGP,EPGD,135
EGGP,EPWA,155
EGGW,EDLW,80
EGGW,EPGD,134
EGGW,EPKK,145
EGGW,EPKT,141
EGGW,EPWA,144
EGGW,EPWR,128
EGGW,EYVI,163
EGGW,LBSF,197
EGGW,LBWN,209
EGGW,LCLK,281
EGGW,LHBP,154
EGGW,LZIB,140
EGKK,EPKK,146
EGKK,LCLK,275
EGKK,LHBP,153
EGNM,EPWA,151
EGPD,EPGD,130
EHBK,EPKT,105
EHBK,EPLB,125
EHBK,LQTZ,125
EHBK,LYPG,145
EHEH,EPGD,104
EHEH,EPKK,115
EHEH,EPKT,105
EHEH,EPWA,113
EHEH,EPWR,98
EHEH,EYVI,141
EHEH,LBSF,160
EHEH,LBWN,175
EHEH,LHBP,115
EHEH,LHDC,130
EHEH,LWSK,160
EHEH,LYBE,135
EKBI,EPGD,75
EKBI,EPKT,100
EKBI,EYVI,106
EKBI,LHBP,120
EKCH,EPGD,65
EKCH,EPWA,85
EKCH,LHBP,114
ENAL,EPGD,119
ENBR,EPGD,106
ENBR,EPKK,140
ENBR,EPMO,130
ENBR,EPSC,105
ENBR,EYVI,132
ENBR,LHBP,165
ENGM,EPGD,92
ENGM,EPKK,132
ENGM,EPSC,90
ENGM,EYPA,90
ENGM,LZIB,145
ENHD,EPGD,105
ENTC,EPGD,168
ENTO,EPWA,112
ENTO,LWSK,188
ENVA,EPGD,115
ENZV,EPGD,100
ENZV,EPKK,135
EPGD,BIKF,239
EPGD,EDDH,81
EPGD,EDLW,102
EPGD,EETN,85
EPGD,EFTU,91
EPGD,EGGP,160
EPGD,EGGW,147
EPGD,EGPD,142
EPGD,EHEH,108
EPGD,EKBI,81
EPGD,EKCH,70
EPGD,ENAL,122
EPGD,ENBR,116
EPGD,ENGM,98
EPGD,ENHD,112
EPGD,ENTC,170
EPGD,ENVA,121
EPGD,ENZV,106
EPGD,ESGG,76
EPGD,ESSA,86
EPGD,EYVI,65
EPGD,GCTS,358
EPGD,LCLK,218
EPGD,LEAL,222
EPGD,LEBL,186
EPGD,LEMD,208
EPGD,LEMG,252
EPGD,LEPA,204
EPGD,LFMN,150
EPGD,LGAV,180
EPGD,LHBP,95
EPGD,LICC,184
EPGD,LIMC,139
EPGD,LIPX,135
EPGD,LIRF,155
EPGD,LPMA,323
EPGD,LZTT,80
EPKK,EDDS,94
EPKK,EETN,113
EPKK,EGGW,160
EPKK,EGKK,159
EPKK,EHEH,120
EPKK,ENBR,145
EPKK,ENGM,136
EPKK,ENZV,141
EPKK,EYVI,79
EPKK,LATI,110
EPKK,LBSF,104
EPKK,LCLK,191
EPKK,LEBB,191
EPKK,LEBL,170
EPKK,LEMG,232
EPKK,LEVC,192
EPKK,LFLL,136
EPKK,LFMN,140
EPKK,LFSB,110
EPKK,LHBP,70
EPKK,LIMC,115
EPKK,LIMJ,118
EPKK,LIPX,100
EPKK,LIRF,130
EPKK,LLBG,212
EPKK,LRBS,93
EPKK,OMAA,340
EPKT,BIKF,267
EPKT,EDLW,106
EPKT,EGGW,149
EPKT,EHBK,115
EPKT,EHEH,116
EPKT,EKBI,105
EPKT,GCFV,335
EPKT,GCTS,350
EPKT,GMAD,295
EPKT,LATI,110
EPKT,LCLK,195
EPKT,LDSP,97
EPKT,LEAL,204
EPKT,LEBL,170
EPKT,LEMD,206
EPKT,LEMG,231
EPKT,LGAV,152
EPKT,LIBR,120
EPKT,LICA,135
EPKT,LICC,154
EPKT,LIRF,125
EPKT,LIRN,126
EPKT,LMML,163
EPKT,LPFR,241
EPKT,LPMA,311
EPKT,LPPR,223
EPKT,LRBV,85
EPKT,OMAA,345
EPKT,UGKO,198
EPLB,EHBK,130
EPMO,EDDS,105
EPMO,ENBR,135
EPMO,LBSF,120
EPMO,LBWN,120
EPMO,LCPH,210
EPMO,LEBL,183
EPMO,LFSB,125
EPMO,LGAV,160
EPMO,LIBR,135
EPMO,LICJ,165
EPMO,LIEA,162
EPMO,LIME,125
EPMO,LIPR,120
EPMO,LMML,185
EPMO,LUKK,110
EPPO,UGKO,217
EPRA,LCLK,197
EPSC,ENBR,110
EPSC,ENGM,95
EPSY,EDLW,110
EPWA,BIKF,258
EPWA,EBCI,130
EPWA,EDLW,110
EPWA,EETN,100
EPWA,EGGP,172
EPWA,EGGW,160
EPWA,EGNM,163
EPWA,EHEH,126
EPWA,EKCH,95
EPWA,ENTO,115
EPWA,ESKN,102
EPWA,GCFV,347
EPWA,GCTS,355
EPWA,GMAD,320
EPWA,GMMX,300
EPWA,LBBG,135
EPWA,LBSF,119
EPWA,LCLK,209
EPWA,LDDU,112
EPWA,LDSP,112
EPWA,LEAL,221
EPWA,LEBB,204
EPWA,LEBL,186
EPWA,LEMD,230
EPWA,LEMG,250
EPWA,LEMH,185
EPWA,LEPA,194
EPWA,LEVC,211
EPWA,LEZL,245
EPWA,LFLS,165
EPWA,LFMN,155
EPWA,LFPO,157
EPWA,LFSB,125
EPWA,LGSA,175
EPWA,LHBP,79
EPWA,LIBD,130
EPWA,LICA,154
EPWA,LICC,168
EPWA,LIEO,155
EPWA,LIMC,135
EPWA,LIME,126
EPWA,LIMF,150
EPWA,LIMJ,138
EPWA,LIPE,121
EPWA,LIPX,125
EPWA,LIRF,145
EPWA,LIRN,150
EPWA,LIRP,133
EPWA,LLBG,233
EPWA,LMML,181
EPWA,LPFR,260
EPWA,LPMA,326
EPWA,LPPR,241
EPWA,LPPT,262
EPWA,LRBS,111
EPWA,LZIB,75
EPWA,UGKO,206
EPWR,EDLW,85
EPWR,EDSB,90
EPWR,EGGW,137
EPWR,EHEH,101
EPWR,GCLP,325
EPWR,LCLK,198
EPWR,LEBL,165
EPWR,LEMD,200
EPWR,LEMG,226
EPWR,LFMN,128
EPWR,LFSB,95
EPWR,LHBP,69
EPWR,LIBD,121
EPWR,LICC,155
EPWR,LRBS,114
EPWR,UGKO,210
ESGG,EPGD,70
ESGG,LQTZ,150
ESGG,LWSK,174
ESGG,LYBE,150
ESKN,EPWA,95
ESKN,LYBE,155
ESMS,LQTZ,130
ESMS,LWSK,159
ESMS,LYBE,129
ESMS,LYPG,150
ESSA,EPGD,80
ESSA,LHBP,141
ESSA,LWSK,190
EYPA,ENGM,95
EYVI,BIKF,260
EYVI,EDLW,135
EYVI,EETN,77
EYVI,EFTU,85
EYVI,EGGW,184
EYVI,EHEH,141
EYVI,EKBI,116
EYVI,ENBR,140
EYVI,EPGD,65
EYVI,EPKK,85
EYVI,LATI,155
EYVI,LCLK,230
EYVI,LEBL,215
EYVI,LEMG,272
EYVI,LFLS,180
EYVI,LFMN,181
EYVI,LHBP,106
EYVI,LICC,198
EYVI,LIMC,161
EYVI,LLBG,250
EYVI,UGKO,230
GCFV,EPKT,310
GCFV,EPWA,325
GCLP,EPWR,320
GCLP,LHBP,324
GCTS,EPGD,330
GCTS,EPKT,318
GCTS,EPWA,334
GCTS,LHBP,308
GMAD,EPKT,285
GMAD,EPWA,300
GMMX,EPWA,285
GMMX,LBSF,265
GMMX,LHBP,252
HEGN,LHBP,249
HESH,LHBP,239
HESX,LHBP,220
LATI,EPKK,115
LATI,EPKT,115
LATI,EYVI,155
LATI,LHBP,90
LATI,LIME,120
LATI,LIRF,100
LATI,LZIB,103
LBBG,EPWA,125
LBPD,LZIB,105
LBSF,EBCI,174
LBSF,EDDH,163
LBSF,EDDS,143
LBSF,EDJA,133
LBSF,EDLW,163
LBSF,EGGW,202
LBSF,EHEH,173
LBSF,EPKK,100
LBSF,EPMO,120
LBSF,EPWA,117
LBSF,GMMX,275
LBSF,LCLK,132
LBSF,LEBL,185
LBSF,LEMD,236
LBSF,LEMG,239
LBSF,LEPA,176
LBSF,LEVC,201
LBSF,LEXJ,225
LBSF,LFLL,165
LBSF,LFMN,146
LBSF,LFOB,187
LBSF,LFSB,148
LBSF,LIBD,86
LBSF,LICA,100
LBSF,LIEA,135
LBSF,LIME,127
LBSF,LIMF,135
LBSF,LIPR,110
LBSF,LIRF,124
LBSF,LIRN,105
LBSF,LKPR,120
LBSF,LLBG,154
LBSF,LUKK,85
LBSF,OMAA,305
LBWN,EBCI,187
LBWN,EDDB,146
LBWN,EDDH,171
LBWN,EDDN,147
LBWN,EDFH,172
LBWN,EDJA,146
LBWN,EDLW,176
LBWN,EGGW,214
LBWN,EHEH,190
LBWN,EPMO,125
LBWN,LIME,155
LBWN,LLBG,140
LBWN,LZIB,115
LCLK,EGGW,307
LCLK,EGKK,308
LCLK,EPGD,236
LCLK,EPKK,206
LCLK,EPKT,206
LCLK,EPRA,213
LCLK,EPWA,216
LCLK,EPWR,220
LCLK,EYVI,245
LCLK,LBSF,145
LCLK,LEBL,271
LCLK,LGTS,135
LCLK,LHBP,191
LCLK,LHDC,180
LCLK,LKPR,226
LCLK,LLBG,65
LCLK,LQTZ,175
LCLK,LWSK,146
LCLK,LYBE,171
LCLK,LZIB,205
LCLK,OMAA,245
LCLK,UDSG,132
LCLK,UDYZ,133
LCLK,UGKO,133
LCPH,EPMO,215
LCPH,UDYZ,135
LDDU,EPWA,115
LDSP,EPKT,97
LDSP,EPWA,110
LEAL,EPGD,211
LEAL,EPKT,192
LEAL,EPWA,210
LEAL,LHBP,181
LEAL,LYBE,167
LEAL,LZIB,173
LEBB,EPKK,180
LEBB,EPWA,187
LEBB,LHBP,167
LEBL,EPGD,190
LEBL,EPKK,176
LEBL,EPKT,170
LEBL,EPMO,180
